Feature,Model,F1 (tuned),Best Thr,AUC
Fusion_All,SVM,0.6621499548328816,0.5,0.6524216524216524
Text_Only,Deep Neural Net,0.6029411764705883,0.6,0.5714285714285714
Ensemble,Top5,0.6007226738934056,0.5,0.6117216117216118
Ensemble,Top3,0.5979503350413875,0.48000000000000015,0.6227106227106227
Fusion_All,XGBoost,0.5952380952380952,0.52,0.5632885632885634
Fusion_All,Logistic Regression,0.5932099396666326,0.56,0.6068376068376069
Ensemble,Top4,0.5921717171717171,0.5600000000000003,0.6194546194546195
Fusion_All,Random Forest,0.588076923076923,0.39,0.5714285714285715
Fusion_All,Deep Neural Net,0.5723489109315881,0.52,0.5641025641025641
Text_Only,Logistic Regression,0.5677519379844961,0.55,0.5482295482295482
Text_Only,Random Forest,0.5641025641025641,0.5,0.518925518925519
Text_Only,SVM,0.5510466988727858,0.63,0.5221815221815221
Text_Only,XGBoost,0.5306268534614991,0.66,0.5132275132275133
