Feature Extraction,Model,CV Macro F1,Val Accuracy,Val Macro F1,Test Accuracy,Test Macro F1,Test Weighted F1,Test Precision,Test Recall,Test ROC-AUC
MFCC,Logistic Regression,0.6842,0.6,0.5833,0.5652,0.5208,0.5525,0.5268,0.5238,0.4603
MFCC,SVM,0.6655,0.6667,0.6411,0.6087,0.5175,0.5631,0.5658,0.5397,0.5317
MFCC,XGBoost,0.6647,0.6,0.55,0.6087,0.5175,0.5631,0.5658,0.5397,0.5079
MFCC,Random Forest,0.7271,0.6667,0.6411,0.6087,0.5175,0.5631,0.5658,0.5397,0.5119
Spectrogram,SVM,0.5664,0.6,0.5982,0.5652,0.5437,0.5652,0.5437,0.5437,0.5238
Spectrogram,Logistic Regression,0.6322,0.5333,0.5249,0.5217,0.4868,0.5159,0.4875,0.4881,0.3889
Spectrogram,XGBoost,0.5769,0.6,0.5833,0.5217,0.4559,0.4971,0.4608,0.4683,0.373
Spectrogram,Random Forest,0.563,0.7333,0.7222,0.5217,0.4103,0.466,0.4145,0.4484,0.3968
Wav2Vec,Random Forest,0.6184,0.6,0.4886,0.6087,0.5175,0.5631,0.5658,0.5397,0.4524
Wav2Vec,XGBoost,0.5952,0.6667,0.6032,0.5217,0.5068,0.5255,0.5077,0.5079,0.5079
Wav2Vec,Logistic Regression,0.6857,0.6667,0.6606,0.4783,0.425,0.463,0.4241,0.4325,0.4127
Wav2Vec,SVM,0.6081,0.6,0.5833,0.4783,0.425,0.463,0.4241,0.4325,0.3492
