Feature,Model,F1 (tuned),Best Thr PHQ8,RMSE,AUC
MFCC,SVR,0.5439642324888226,8.0,6.135273196858586,0.4611314611314611
MFCC,XGBRegressor,0.5432835820895523,9.0,6.316795494583981,0.5136345136345136
Wav2Vec_Full,Ridge Regression,0.5296442687747036,11.5,8.773661835777679,0.49124949124949124
Spectrogram,XGBRegressor,0.5296442687747036,9.5,6.441974211253906,0.5111925111925112
Fusion_All,XGBRegressor,0.5294117647058824,7.5,6.35203312469034,0.5278795278795279
Spectrogram,Random Forest,0.5228070175438597,8.0,6.1709138958260485,0.5115995115995116
Ensemble,Top3,0.5215351812366738,8.5,6.161277315246844,0.5087505087505088
Ensemble,Top4,0.5200250967269685,9.0,6.493107468792565,0.48758648758648765
Fusion_All,Random Forest,0.5145545102379635,9.0,6.188881281327396,0.48148148148148145
MFCC,Random Forest,0.5142857142857142,8.0,6.2008115045888195,0.4717134717134717
Wav2Vec_Full,XGBRegressor,0.49869287880372265,9.0,6.447135255293764,0.4806674806674806
Fusion_All,Ridge Regression,0.4838056680161943,13.5,8.51347463880361,0.39438339438339437
Wav2Vec_Full,SVR,0.4834108527131783,7.5,6.159571351348383,0.42897842897842897
Wav2Vec_Full,Random Forest,0.4763150247021215,8.0,6.249934193275091,0.45909645909645913
Spectrogram,Ridge Regression,0.469812075169932,9.5,11.306034455168493,0.45746845746845743
Spectrogram,SVR,0.45948549956643225,7.0,6.1215030256537455,0.426943426943427
MFCC,Ridge Regression,0.4584942084942085,14.5,9.66295442734789,0.3679283679283679
Fusion_All,SVR,0.43379934210526316,7.5,6.11809511480012,0.42735042735042733
