Feature Extraction,Model,Threshold,CV Macro F1,Val Macro F1,Test Macro F1,Test Accuracy,Test Weighted F1,Test Precision,Test Recall,Test ROC-AUC
MFCC,XGBoost,0.5,0.6086,0.6411,0.5068,0.5217,0.5255,0.5077,0.5079,0.5476
Wav2Vec,XGBoost,0.725,0.5711,0.7,0.4866,0.5652,0.5303,0.5056,0.504,0.4365
Spectrogram,Logistic Regression,0.425,0.5813,0.6411,0.4692,0.4783,0.4843,0.4735,0.4722,0.4683
Wav2Vec,Random Forest,0.55,0.6035,0.6411,0.4559,0.5217,0.4971,0.4608,0.4683,0.4603
Ensemble,Soft Voting (12),0.65,0.0,0.7,0.4559,0.5217,0.4971,0.4608,0.4683,0.4286
MFCC,SVM,0.625,0.6042,0.7,0.425,0.4783,0.463,0.4241,0.4325,0.4841
MFCC,Random Forest,0.525,0.5829,0.7,0.425,0.4783,0.463,0.4241,0.4325,0.4683
Wav2Vec,Logistic Regression,0.675,0.5984,0.7,0.425,0.4783,0.463,0.4241,0.4325,0.3968
Wav2Vec,SVM,0.5,0.612,0.7,0.425,0.4783,0.463,0.4241,0.4325,0.4206
Spectrogram,SVM,0.575,0.5836,0.6411,0.4103,0.5217,0.466,0.4145,0.4484,0.4048
Spectrogram,Random Forest,0.25,0.5714,0.7321,0.3902,0.3913,0.3959,0.4038,0.4008,0.4444
MFCC,Logistic Regression,0.25,0.5786,0.6606,0.3429,0.3478,0.3304,0.3705,0.3849,0.4841
Spectrogram,XGBoost,0.25,0.5513,0.5833,0.3275,0.3478,0.3529,0.3308,0.3254,0.3492
