,F1,Thr,AUC
MFCC_Ling|SVM_rbf_C2,0.7260047411654447,0.4000000000000002,0.746904761904762
MFCC_Ling|SVM_rbf_C5,0.6804719333454965,0.48000000000000026,0.71
MFCC_Ling|SVM_rbf_C1,0.6784420289855072,0.48000000000000026,0.725
MFCC_Ling|SVM_rbf_C0.5,0.6768772973919132,0.5300000000000002,0.6852380952380952
BERT_MFCC_Ling|SVM_rbf_C0.5,0.6542207792207793,0.6000000000000003,0.6711904761904762
MFCC_Ling|SVM_rbf_C10,0.649753347427766,0.4400000000000002,0.7035714285714285
BERT_MFCC_Ling|SVM_rbf_C1,0.6437365073808274,0.4300000000000002,0.6564285714285714
BERT_MFCC_Ling|SVM_rbf_C2,0.6339986812923335,0.38000000000000017,0.6497619047619048
BERT_MFCC_Ling|SVM_rbf_C5,0.6339986812923335,0.38000000000000017,0.6502380952380952
BERT_MFCC_Ling|SVM_rbf_C10,0.6339986812923335,0.38000000000000017,0.6502380952380952
BERT_MFCC_Ling|LR_C0.01,0.6328377504848093,0.37000000000000016,0.6742857142857144
MFCC_Ling|SVM_lin_C0.05,0.6328377504848093,0.47000000000000025,0.6328571428571429
BERT_Ling|SVM_rbf_C0.5,0.6266936299292214,0.7700000000000005,0.6392857142857142
BERT_MFCC_Ling|LR_C0.05,0.6203407601572739,0.23000000000000004,0.6614285714285715
BERT_Ling|SVM_rbf_C10,0.6199965837271537,0.2900000000000001,0.6461904761904762
BERT_Ling|SVM_rbf_C5,0.6199965837271537,0.2900000000000001,0.6461904761904762
BERT_Ling|SVM_rbf_C2,0.6199965837271537,0.2900000000000001,0.6461904761904762
MFCC_Ling|SVM_lin_C1,0.6175393234216764,0.46000000000000024,0.6423809523809524
BERT_Ling|SVM_rbf_C1,0.6169144864797038,0.5000000000000002,0.6472619047619047
MFCC_Ling|SVM_lin_C0.5,0.6124756335282651,0.48000000000000026,0.6447619047619048
MFCC_Ling|LR_C0.05,0.6105957173697415,0.5500000000000003,0.6616666666666666
MFCC_Ling|LR_C0.5,0.6104893570331358,0.5100000000000002,0.6530952380952382
MFCC_Ling|LR_C2,0.6086495654017383,0.46000000000000024,0.6533333333333333
MFCC_Ling|LR_C1,0.6054521625163827,0.4200000000000002,0.6521428571428571
MFCC_Ling|SVM_lin_C0.1,0.6045864045864047,0.48000000000000026,0.6302380952380953
MFCC_Ling|LR_C0.01,0.5997549019607843,0.5700000000000003,0.6588095238095238
MFCC_Ling|LR_C0.1,0.5995743548816175,0.49000000000000027,0.6590476190476191
BERT_MFCC_Ling|LR_C0.1,0.5963096068229362,0.21000000000000002,0.6585714285714285
BERT_Ling|LR_C0.01,0.5963096068229362,0.38000000000000017,0.6488095238095238
BERT_Ling|SVM_lin_C0.1,0.5883429966432713,0.5900000000000003,0.5878571428571429
BERT_Ling|SVM_lin_C0.5,0.5883429966432713,0.5900000000000003,0.5878571428571429
BERT_Ling|SVM_lin_C0.05,0.5883429966432713,0.5900000000000003,0.585
BERT_Ling|SVM_lin_C1,0.5883429966432713,0.5900000000000003,0.5878571428571429
BERT_Ling|LR_C0.05,0.5872093023255813,0.21000000000000002,0.6352380952380952
BERT_MFCC_Ling|SVM_lin_C1,0.5750257997936017,0.22000000000000003,0.6090476190476191
BERT_MFCC_Ling|SVM_lin_C0.5,0.5750257997936017,0.22000000000000003,0.6090476190476191
BERT_MFCC_Ling|SVM_lin_C0.1,0.5750257997936017,0.22000000000000003,0.6090476190476191
BERT_Ling|LR_C0.1,0.5726279106605418,0.2,0.6328571428571428
BERT_Ling|LR_C0.5,0.572006175108432,0.8000000000000005,0.6242857142857143
BERT_MFCC_Ling|SVM_lin_C0.05,0.5667087542087542,0.25000000000000006,0.6054761904761905
BERT_MFCC_Ling|LR_C0.5,0.5649509803921569,0.3300000000000001,0.6523809523809523
BERT_Ling|LR_C1,0.5614450908568556,0.7800000000000005,0.623095238095238
BERT_Ling|LR_C2,0.55625,0.7900000000000005,0.6216666666666667
BERT_MFCC_Ling|LR_C2,0.5552832244008715,0.7600000000000005,0.6488095238095238
BERT_MFCC_Ling|LR_C1,0.5528249459709786,0.2800000000000001,0.6507142857142857
