Feature Extraction,Model,Test F1 Mean,Test F1 Std,Test F1 Min,Test F1 Max,Test Acc Mean,Test AUC Mean,Test Prec Mean,Test Recall Mean
Wav2Vec,XGBoost,0.6293,0.1182,0.4762,0.8036,0.6727,0.6,0.638,0.6357
MFCC,Random Forest,0.5835,0.1388,0.4107,0.7708,0.6364,0.5714,0.6158,0.5857
Wav2Vec,Random Forest,0.5409,0.1474,0.3529,0.8036,0.6182,0.5857,0.5399,0.5607
Spectrogram,XGBoost,0.5141,0.0673,0.4107,0.6118,0.5818,0.4857,0.5713,0.5214
MFCC,XGBoost,0.4601,0.1466,0.2667,0.6857,0.5091,0.4571,0.4642,0.4643
Wav2Vec,Logistic Regression,0.4562,0.1721,0.1538,0.6333,0.4909,0.4929,0.4627,0.4607
Spectrogram,Logistic Regression,0.4558,0.0976,0.2667,0.5299,0.5091,0.4786,0.455,0.4643
Spectrogram,Random Forest,0.455,0.0855,0.3125,0.5455,0.5091,0.4929,0.4581,0.475
MFCC,SVM,0.4335,0.0892,0.3889,0.6118,0.6545,0.5071,0.4245,0.525
MFCC,Logistic Regression,0.4158,0.1037,0.2667,0.5299,0.4545,0.3714,0.4155,0.4214
Spectrogram,SVM,0.3889,0.0,0.3889,0.3889,0.6364,0.5714,0.3182,0.5
Wav2Vec,SVM,0.3889,0.0,0.3889,0.3889,0.6364,0.3786,0.3182,0.5
