Model,Test F1 Macro,Test Accuracy,Test AUC,Test Precision,Test Recall,Threshold
XGB_v2,0.625,0.6667,0.6667,0.8,0.6667,0.77
LR_C1,0.5556,0.5556,0.5802,0.5556,0.5556,0.2
MLP_seed76,0.55,0.5556,0.5432,0.5584,0.5556,0.31
LR_C01,0.4985,0.5,0.5432,0.5,0.5,0.4
XGB_v1,0.4857,0.5,0.6049,0.5,0.5,0.58
GradientBoosting,0.4582,0.5,0.6667,0.5,0.5,0.8
LR_C10,0.4375,0.4444,0.5556,0.4416,0.4444,0.2
SVM_C1,0.4109,0.5,0.6049,0.5,0.5,0.4
RF_500,0.375,0.4444,0.4198,0.4,0.4444,0.55
RF_300,0.3378,0.3889,0.4321,0.3393,0.3889,0.55
SVM_C50,0.3333,0.5,0.2469,0.25,0.5,0.43
SVM_C10,0.3333,0.5,0.2593,0.25,0.5,0.43
