Feature,Model,CV F1 Mean,CV F1 Std,CV F1 Min,CV F1 Max,CV Acc,CV AUC,CV Rec Dep,CV Prec Dep
MFCC,GBM,0.6734,0.1031,0.5238,0.7917,0.6952,0.5938,0.6321,0.5773
All3 (S+M+W),LGB,0.6454,0.0838,0.5489,0.7667,0.6748,0.5515,0.6321,0.6176
MFCC,XGB,0.6431,0.089,0.5,0.7667,0.6848,0.6036,0.4821,0.6833
MFCC,RF_300,0.6405,0.0663,0.5611,0.7529,0.6862,0.5716,0.5071,0.6333
Spec+MFCC,LGB,0.6371,0.1114,0.4486,0.7857,0.6652,0.5343,0.5357,0.6485
All3 (S+M+W),GBM,0.629,0.1034,0.4792,0.7529,0.6562,0.5382,0.5821,0.5512
All3 (S+M+W),XGB,0.6275,0.0571,0.5489,0.7215,0.6562,0.5504,0.6071,0.5947
Spec+MFCC,RF_300,0.6263,0.0995,0.4667,0.7407,0.6657,0.5393,0.6036,0.5315
Spectrogram,LR_bal,0.6197,0.0614,0.5238,0.7136,0.6667,0.5436,0.5321,0.6367
All3 (S+M+W),LR_bal,0.6192,0.121,0.4792,0.7981,0.6348,0.5606,0.5643,0.537
All3 (S+M+W),MLP_v66,0.6155,0.1016,0.4486,0.7667,0.6457,0.4676,0.5107,0.6227
MFCC,ET_300,0.6117,0.1378,0.4667,0.84,0.6867,0.5071,0.3536,0.6514
All3 (S+M+W),ET_300,0.6108,0.1343,0.3732,0.7529,0.6452,0.5063,0.4786,0.525
MFCC,LGB,0.6062,0.1035,0.4792,0.7529,0.6467,0.5326,0.5536,0.6159
MFCC,MLP_v66,0.6055,0.0591,0.5238,0.6786,0.6462,0.5164,0.4571,0.5424
Spec+MFCC,MLP_med,0.6003,0.0909,0.4872,0.7529,0.6367,0.521,0.4571,0.52
Spectrogram,LGB,0.5979,0.102,0.5139,0.7857,0.6267,0.5267,0.4893,0.5356
Spectrogram,MLP_med,0.5958,0.0532,0.5312,0.6541,0.6567,0.5124,0.4286,0.7111
Spec+MFCC,XGB,0.5957,0.1019,0.4505,0.7407,0.6257,0.4999,0.5321,0.4986
Spectrogram,MLP_v66,0.5934,0.0939,0.5139,0.7529,0.6371,0.5233,0.6286,0.6165
MFCC,MLP_med,0.5912,0.1337,0.3571,0.7407,0.6481,0.5714,0.5821,0.6429
Spec+MFCC,SVM_C100,0.5902,0.1127,0.4357,0.7857,0.6452,0.4854,0.4286,0.55
Spec+MFCC,GBM,0.5868,0.1269,0.4048,0.7667,0.6252,0.5347,0.5357,0.5434
All3 (S+M+W),RF_300,0.584,0.1115,0.4048,0.7083,0.6257,0.486,0.5036,0.5106
Spectrogram,GBM,0.5807,0.104,0.3939,0.6865,0.6071,0.4665,0.5107,0.5622
MFCC,SVM_C10,0.5785,0.0565,0.4982,0.6703,0.6376,0.5052,0.5286,0.5608
Spectrogram,XGB,0.5758,0.0926,0.4133,0.6971,0.6357,0.4813,0.3571,0.6283
Spec+MFCC,LR_bal,0.575,0.1437,0.375,0.7529,0.5952,0.5003,0.5321,0.4997
Spec+MFCC,MLP_v66,0.5744,0.0687,0.5238,0.7083,0.6462,0.4805,0.3786,0.6422
Spectrogram,MLP_small,0.5707,0.1176,0.4,0.7619,0.5862,0.5019,0.6107,0.4647
All3 (S+M+W),MLP_small,0.5652,0.0402,0.4982,0.6101,0.6176,0.4995,0.4286,0.5218
Spec+MFCC,MLP_small,0.5647,0.0782,0.4792,0.7083,0.6076,0.5071,0.625,0.5565
Spec+MFCC,ET_300,0.5573,0.085,0.4667,0.7083,0.5971,0.4784,0.4536,0.4524
Spectrogram,SVM_C100,0.5516,0.0604,0.4949,0.637,0.5671,0.4508,0.5643,0.4584
Spectrogram,ET_300,0.5485,0.0695,0.4505,0.6636,0.5867,0.4487,0.4321,0.4742
MFCC,SVM_C100,0.5427,0.0392,0.4982,0.6,0.6086,0.4888,0.4786,0.5075
Spectrogram,SVM_C10,0.5411,0.0707,0.4667,0.65,0.5876,0.445,0.6286,0.4917
All3 (S+M+W),SVM_C10,0.5411,0.0728,0.4357,0.6636,0.5971,0.451,0.4286,0.4514
MFCC,MLP_small,0.5373,0.0899,0.4296,0.6491,0.589,0.442,0.5536,0.4766
Spectrogram,RF_300,0.5359,0.0514,0.4357,0.5714,0.5881,0.4208,0.4036,0.4645
MFCC,LR_bal,0.5269,0.1094,0.3576,0.6971,0.569,0.3986,0.5321,0.4946
All3 (S+M+W),MLP_med,0.5264,0.0435,0.4982,0.6111,0.5881,0.4424,0.3786,0.4633
Spec+MFCC,SVM_C10,0.5223,0.0506,0.4357,0.5714,0.559,0.4038,0.6036,0.4235
All3 (S+M+W),SVM_C100,0.5183,0.0892,0.3732,0.6182,0.5876,0.4274,0.3286,0.4533
