Feature,Model,F1 Mean,F1 Std,F1 Max,Acc Mean,AUC Mean
Wav2Vec,XGBoost,0.6293,0.1182,0.8036,0.6727,0.6
MFCC,Random Forest,0.5835,0.1388,0.7708,0.6364,0.5714
Wav2Vec,Random Forest,0.5409,0.1474,0.8036,0.6182,0.5857
Spectrogram,XGBoost,0.5141,0.0673,0.6118,0.5818,0.4857
MFCC,XGBoost,0.4601,0.1466,0.6857,0.5091,0.4571
Wav2Vec,Logistic Regression,0.4562,0.1721,0.6333,0.4909,0.4929
Spectrogram,Logistic Regression,0.4558,0.0976,0.5299,0.5091,0.4786
Spectrogram,Random Forest,0.455,0.0855,0.5455,0.5091,0.4929
Fused,Logistic Regression,0.4518,0.1446,0.7179,0.5091,0.3643
Fused,Random Forest,0.4446,0.1462,0.6333,0.5636,0.4929
MFCC,SVM,0.4335,0.0892,0.6118,0.6545,0.5071
Fused,SVM,0.4335,0.0892,0.6118,0.6545,0.5071
MFCC,Logistic Regression,0.4158,0.1037,0.5299,0.4545,0.3714
Spectrogram,SVM,0.3889,0.0,0.3889,0.6364,0.5714
Wav2Vec,SVM,0.3889,0.0,0.3889,0.6364,0.3786
Fused,XGBoost,0.3629,0.0896,0.5299,0.4182,0.4
