Feature,Model,Test F1,Test Acc,Test AUC,Val F1
Fused,XGBoost,0.4868,0.5217,0.5714,0.4
Spectrogram,XGBoost,0.4866,0.5652,0.3968,0.55
Wav2Vec,XGBoost,0.4866,0.5652,0.4127,0.5833
MFCC,XGBoost,0.4559,0.5217,0.4603,0.4976
MFCC,Random Forest,0.4559,0.5217,0.4444,0.6606
Wav2Vec,Logistic Regression,0.4559,0.5217,0.4841,0.5982
Fused,Random Forest,0.4559,0.5217,0.4286,0.55
Spectrogram,Logistic Regression,0.4524,0.4783,0.4603,0.3541
Spectrogram,Random Forest,0.4103,0.5217,0.4921,0.6411
Wav2Vec,Random Forest,0.3839,0.4783,0.381,0.6411
MFCC,SVM,0.3784,0.6087,0.5317,0.3478
Spectrogram,SVM,0.3784,0.6087,0.5635,0.3478
Wav2Vec,SVM,0.3784,0.6087,0.4206,0.3478
Fused,SVM,0.3784,0.6087,0.5238,0.3478
MFCC,Logistic Regression,0.3611,0.3913,0.3651,0.55
Fused,Logistic Regression,0.3611,0.3913,0.4286,0.4976
