Feature,Model,CV F1 Mean,CV F1 Std,CV F1 Min,CV F1 Max,CV Acc,CV AUC,CV Rec Dep,CV Prec Dep
MFCC+W2V_Eng,GBM_200,0.6934,0.0504,0.6011,0.7494,0.7252,0.6439,0.5857,0.6773
MFCC_Eng,GBM_200,0.6896,0.0642,0.6,0.7981,0.7252,0.6431,0.6107,0.7258
MFCC_Eng,HistGBM_d5,0.6799,0.1118,0.5489,0.8465,0.7148,0.6008,0.5821,0.6679
MFCC_Eng,HistGBM_200,0.6795,0.1395,0.4982,0.8958,0.7348,0.5983,0.4857,0.7807
All3_Eng,LGB_100,0.677,0.0619,0.6011,0.7529,0.7062,0.6196,0.5607,0.6462
MFCC_Eng,XGB_200,0.6741,0.1005,0.5833,0.8329,0.6938,0.59,0.6107,0.6333
MFCC_Eng,HistGBM_bal,0.6606,0.0911,0.5489,0.7802,0.6948,0.6039,0.5357,0.7047
MFCC+W2V,LGB_200,0.6606,0.093,0.5611,0.7917,0.6962,0.6256,0.5321,0.6033
All3,HistGBM_200,0.6592,0.0807,0.5489,0.7667,0.6748,0.5877,0.6643,0.6229
MFCC_Eng,HistGBM_100,0.6559,0.0981,0.4982,0.7802,0.7152,0.5612,0.4357,0.76
All3_Eng,LGB_leaves63,0.6551,0.0701,0.6,0.7857,0.6957,0.5998,0.5071,0.6533
MFCC+W2V,LGB_leaves63,0.6546,0.0999,0.5312,0.7917,0.7062,0.6124,0.5036,0.7033
MFCC,LGB_leaves63,0.6538,0.1055,0.5238,0.798,0.6767,0.5864,0.6143,0.5642
MFCC_Eng,LGB_leaves63,0.6492,0.0742,0.5611,0.7667,0.6957,0.5603,0.5321,0.7167
MFCC,LGB_100,0.6484,0.1047,0.5611,0.798,0.7057,0.5786,0.4821,0.64
All3,LGB_100,0.6475,0.0971,0.5489,0.7857,0.6843,0.5777,0.5321,0.6218
MFCC+W2V_Eng,HistGBM_100,0.6451,0.0948,0.5238,0.7597,0.6757,0.5591,0.5607,0.5606
MFCC+W2V,LGB_100,0.6445,0.0772,0.52,0.7407,0.6657,0.5804,0.5857,0.5669
MFCC+W2V_Eng,GBM_100,0.6424,0.1005,0.4667,0.7442,0.6952,0.5931,0.4607,0.6267
MFCC+W2V_Eng,LGB_200,0.6418,0.072,0.5611,0.7407,0.6852,0.5631,0.5321,0.6089
All3_Eng,HistGBM_100,0.6408,0.1044,0.5604,0.8444,0.6657,0.5668,0.5607,0.5837
MFCC_Eng,RF_300,0.6404,0.03,0.6101,0.6971,0.6862,0.5466,0.4571,0.6736
MFCC_Eng,LGB_200,0.6398,0.1044,0.4792,0.7667,0.6843,0.5417,0.4821,0.6917
MFCC+W2V_Eng,LGB_100,0.6392,0.0798,0.5611,0.7667,0.6862,0.5665,0.5571,0.6733
MFCC+W2V_Eng,HistGBM_bal,0.6376,0.0936,0.4982,0.7529,0.6952,0.5605,0.4821,0.6867
MFCC_Eng,MLP_s,0.6356,0.1091,0.4667,0.8056,0.6652,0.5354,0.6286,0.5269
MFCC+W2V,HistGBM_200,0.6337,0.1029,0.4982,0.7802,0.6867,0.5363,0.4536,0.6376
MFCC+W2V_Eng,HistGBM_200,0.633,0.084,0.5238,0.7597,0.6752,0.5254,0.5821,0.5673
MFCC+W2V_Eng,LGB_leaves63,0.6314,0.0614,0.5611,0.7407,0.6952,0.5603,0.4571,0.7505
All3_Eng,HistGBM_d5,0.6312,0.042,0.5489,0.6667,0.6662,0.5797,0.6071,0.6563
All3_Eng,HistGBM_bal,0.63,0.0496,0.5489,0.6786,0.6657,0.5875,0.4857,0.6076
MFCC_Eng,GBM_100,0.6299,0.088,0.4982,0.7529,0.6752,0.577,0.5357,0.6583
All3_Eng,HistGBM_200,0.6295,0.0465,0.5714,0.697,0.6576,0.5679,0.5821,0.6234
MFCC+W2V_Eng,HistGBM_d5,0.6279,0.091,0.4982,0.7597,0.6852,0.5328,0.5571,0.6673
MFCC,HistGBM_bal,0.6278,0.0951,0.5238,0.798,0.6957,0.5295,0.4071,0.69
MFCC,HistGBM_200,0.6278,0.0951,0.5238,0.798,0.6957,0.5558,0.4071,0.69
All3,GBM_100,0.6277,0.0604,0.5489,0.6921,0.6557,0.5803,0.5607,0.6176
MFCC_Eng,LGB_100,0.6276,0.0796,0.4982,0.7215,0.6862,0.5533,0.5071,0.71
All3_Eng,MLP_s,0.6267,0.1144,0.4505,0.7333,0.6852,0.5242,0.4286,0.6945
MFCC+W2V,XGB_200,0.6241,0.0357,0.5611,0.6636,0.6571,0.5688,0.6071,0.5702
All3_Eng,LGB_200,0.6235,0.0399,0.5689,0.6875,0.6571,0.5469,0.5357,0.5694
MFCC+W2V,HistGBM_d5,0.6227,0.0644,0.5238,0.7215,0.6562,0.5243,0.5571,0.5677
MFCC,HistGBM_d5,0.6224,0.0646,0.5611,0.7333,0.6957,0.5336,0.3571,0.7262
All3,LGB_leaves63,0.622,0.1345,0.375,0.7857,0.6552,0.5397,0.4857,0.5958
MFCC,LGB_200,0.6204,0.1043,0.4872,0.7529,0.6567,0.5503,0.5071,0.5471
MFCC,HistGBM_100,0.6195,0.089,0.4872,0.7494,0.6757,0.509,0.4321,0.6073
All3_Eng,GBM_100,0.6166,0.0653,0.4987,0.6875,0.6476,0.5218,0.5357,0.5361
MFCC,GBM_200,0.6165,0.1045,0.4792,0.7597,0.6467,0.5476,0.5821,0.5556
MFCC+W2V,HistGBM_100,0.6143,0.0587,0.5238,0.6971,0.6367,0.5356,0.6143,0.5216
All3,LGB_200,0.6131,0.107,0.4792,0.7857,0.6548,0.5453,0.4393,0.5917
MFCC,XGB_200,0.6127,0.0617,0.4949,0.6667,0.6367,0.5547,0.5857,0.5368
MFCC+W2V,HistGBM_bal,0.6126,0.0682,0.5238,0.7215,0.6467,0.5185,0.5321,0.5586
All3,MLP_s,0.6124,0.1171,0.4949,0.7529,0.6348,0.5341,0.5821,0.53
MFCC+W2V_Eng,RF_300,0.6124,0.0444,0.5714,0.697,0.6476,0.5004,0.5321,0.5656
All3_Eng,XGB_200,0.6108,0.0945,0.52,0.7407,0.6552,0.5543,0.4571,0.5486
MFCC+W2V_Eng,XGB_200,0.6103,0.1328,0.375,0.7529,0.6448,0.5498,0.5607,0.5883
All3_Eng,LR_1,0.6084,0.0904,0.4505,0.6971,0.6367,0.5143,0.5071,0.5221
MFCC,GBM_100,0.6056,0.0897,0.52,0.7151,0.6371,0.528,0.6321,0.5341
All3,GBM_200,0.6056,0.0913,0.5,0.7333,0.6567,0.5002,0.5036,0.7185
MFCC,Ada_100,0.6049,0.124,0.3939,0.7442,0.6767,0.5973,0.475,0.47
All3,HistGBM_bal,0.6031,0.1476,0.3548,0.7857,0.6848,0.4718,0.4071,0.5833
MFCC_Eng,SVM_10,0.5968,0.1448,0.375,0.8056,0.6748,0.4967,0.4,0.4933
All3,HistGBM_100,0.5945,0.102,0.4486,0.7667,0.6457,0.472,0.4321,0.6769
All3,XGB_200,0.5931,0.0547,0.4949,0.6636,0.6167,0.5021,0.5857,0.5067
MFCC+W2V,MLP_s,0.5926,0.0656,0.4987,0.6703,0.6376,0.5182,0.4321,0.5467
All3_Eng,Ada_100,0.5879,0.0774,0.4714,0.6703,0.6286,0.4674,0.6036,0.621
All3,Ada_100,0.5874,0.1028,0.3939,0.6875,0.6471,0.5237,0.5,0.4361
MFCC,MLP_s,0.5872,0.0963,0.4133,0.6865,0.6271,0.4867,0.4357,0.5362
MFCC+W2V,GBM_200,0.5864,0.1059,0.4486,0.7136,0.6171,0.5665,0.6786,0.5002
All3,HistGBM_d5,0.5839,0.1409,0.3484,0.7667,0.6152,0.4697,0.4893,0.5726
MFCC_Eng,Ada_100,0.5825,0.0641,0.4982,0.6636,0.6462,0.5361,0.4821,0.6524
