scenario,model,type,cv_f1_mean,cv_f1_std,cv_acc_mean,test_f1,test_acc,test_auc,overfit_gap,time_s,y_pred,y_prob
S1_Spectrogram,RandomForest,Traditional ML,0.9512,0.0598,0.9528,0.6267,0.65,0.61,-0.3246,2.1,"[1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0.88, 0.15333333333333332, 0.4166666666666667, 0.56, 0.21666666666666667, 0.6466666666666666, 0.15, 0.11666666666666667, 0.6266666666666667, 0.8533333333333334, 0.7333333333333333, 0.4533333333333333, 0.29333333333333333, 0.5066666666666667, 0.22, 0.7166666666666667, 0.39, 0.8933333333333333, 0.8866666666666667, 0.16666666666666666]"
S1_Spectrogram,SVM,Traditional ML,0.9746,0.0508,0.975,0.6491,0.65,0.6,-0.3255,0.5,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.5894944469813134, 0.31052245684001833, 0.09722654530267448, 0.6647983308830475, 0.2096037951118396, 0.8598407183592974, 0.26621387252717793, 0.10086861332069778, 0.4587561155814293, 0.6122592455359719, 0.9613164292859795, 0.16243144896207498, 0.07037554512761432, 0.9147875384932157, 0.41830796351842264, 0.6122079291539905, 0.6087093559849155, 0.7177341574500891, 0.9606023415909946, 0.08689327060497799]"
S1_Spectrogram,LogisticRegression,Traditional ML,0.9233,0.1052,0.9278,0.6267,0.65,0.55,-0.2966,0.6,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.9999969392491378, 0.24305866286946104, 0.2901124347606403, 0.42522197474264956, 0.0013193686180267112, 0.29935341192113324, 0.4714407471737381, 0.012189897496801683, 0.8044818726019729, 0.8689543874591775, 0.9931624743952266, 0.27556518784232, 0.09127766279194569, 0.3750406013915696, 1.815515264777497e-09, 0.7131461409920323, 0.8850219636530667, 0.9998867083573186, 0.999507994942014, 0.03900803965019103]"
S1_Spectrogram,XGBoost,Traditional ML,0.8259,0.228,0.8806,0.5833,0.6,0.52,-0.2425,0.8,"[1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1]","[0.9483842849731445, 0.03703228011727333, 0.5251705646514893, 0.590996503829956, 0.031396739184856415, 0.5765196681022644, 0.09576942026615143, 0.14903347194194794, 0.6456289887428284, 0.9223635792732239, 0.5377710461616516, 0.36667194962501526, 0.304459810256958, 0.08252204209566116, 0.06613416224718094, 0.8117979764938354, 0.290462851524353, 0.9555226564407349, 0.9326968193054199, 0.24109308421611786]"
S1_Spectrogram,MLP_DL,Deep Learning,0.8999,0.0983,0.9056,0.5833,0.6,0.51,-0.3166,0.9,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0]","[0.9981716056666147, 0.2981575486465559, 0.6324704852786902, 0.8076505434788103, 0.024998020029545175, 0.8056275689969785, 0.13963311270460463, 0.061933209825997204, 0.45475500563090365, 0.8766966991718478, 0.9175244157181675, 0.3323380942078507, 0.0311283030246076, 0.8590253377031724, 8.21110995478776e-07, 0.6922391230802579, 0.3298543073977773, 0.9943357726058283, 0.9627858395226596, 0.05619823206114267]"
S2_MFCC,RandomForest,Traditional ML,0.919,0.1072,0.9278,0.6267,0.65,0.57,-0.2923,2.1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.7266666666666667, 0.6833333333333333, 0.53, 0.5766666666666667, 0.49666666666666665, 0.5333333333333333, 0.68, 0.25666666666666665, 0.61, 0.6466666666666666, 0.6933333333333334, 0.62, 0.4066666666666667, 0.5933333333333334, 0.3566666666666667, 0.56, 0.8933333333333333, 0.7566666666666667, 0.8733333333333333, 0.3566666666666667]"
S2_MFCC,SVM,Traditional ML,0.9723,0.0554,0.9778,0.5833,0.6,0.48,-0.389,0.5,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.4733724147477498, 0.715457254984425, 0.28847837943802385, 0.34552061564539893, 0.4246354642950144, 0.2860223407790471, 0.8150784049049116, 0.06912381203372031, 0.6302732173737868, 0.5717834938606795, 0.8078293911040317, 0.5544929142619267, 0.29679050362571896, 0.2820848688295186, 0.053469926664443876, 0.17155105230192738, 0.9058351330288616, 0.6905804226190049, 0.7471642717645851, 0.11109185243432701]"
S2_MFCC,LogisticRegression,Traditional ML,0.9432,0.0696,0.9528,0.4373,0.45,0.41,-0.5059,0.5,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0.9483529978024129, 0.8934245438996825, 0.0350661962521402, 0.962743220250791, 0.9450386256417074, 0.868263999183869, 0.9333314006788934, 0.034378361218528906, 0.8470885646854438, 0.7484060023605058, 0.9596577260650073, 0.7478411041224642, 0.05759677956514859, 0.40905641821233846, 0.006884546321408505, 0.3087344078345019, 0.9744628128397294, 0.980625426489219, 0.8559584596076276, 0.007717763237766502]"
S2_MFCC,XGBoost,Traditional ML,0.7252,0.1868,0.7583,0.5604,0.6,0.49,-0.1647,1.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]","[0.7976775169372559, 0.5962421894073486, 0.2512728273868561, 0.5231611132621765, 0.28647109866142273, 0.7401617169380188, 0.5864452719688416, 0.05863073095679283, 0.7497469186782837, 0.5198728442192078, 0.27371594309806824, 0.4182533919811249, 0.18748143315315247, 0.5424858331680298, 0.11570096760988235, 0.7970508337020874, 0.9209599494934082, 0.7022772431373596, 0.9563764333724976, 0.19330883026123047]"
S2_MFCC,MLP_DL,Deep Learning,0.8523,0.1297,0.9028,0.5833,0.6,0.51,-0.269,0.8,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]","[0.684649005340383, 0.5091923582407389, 0.47119538658285204, 0.5431947762159304, 0.408532810728274, 0.41490273135021366, 0.45389424538741213, 0.5265214070227094, 0.4651970346548882, 0.7040774731513584, 0.5011812723036536, 0.4922252688236268, 0.5824298102092322, 0.40797589923204347, 0.44880224727893514, 0.47183490813397216, 0.6783543211726005, 0.6365962702006096, 0.6290423178499612, 0.42307268173832413]"
