scenario,model,best_cfg,cv_f1_mean,cv_f1_std,cv_acc_mean,test_f1,test_acc,test_auc,test_rec_dep,test_prec_dep,overfit_gap,time_s,y_pred,y_prob
S1_Spectrogram,RandomForest,"{'n_estimators': 300, 'max_depth': None, 'class_weight': 'balanced'}",0.6468,0.0514,0.6949,0.6419,0.65,0.66,0.8,0.6154,-0.0049,6.3,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[0.85, 0.42, 0.36, 0.6833333333333333, 0.26666666666666666, 0.94, 0.25666666666666665, 0.31666666666666665, 0.44666666666666666, 0.83, 0.73, 0.43, 0.43, 0.7866666666666666, 0.37333333333333335, 0.8866666666666667, 0.5066666666666667, 0.9533333333333334, 0.9433333333333334, 0.3566666666666667]"
S1_Spectrogram,SVM,"{'C': 1.0, 'kernel': 'rbf', 'gamma': 'scale', 'class_weight': 'balanced'}",0.6211,0.0607,0.6699,0.6703,0.7,0.67,1.0,0.625,0.0492,1.4,"[1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.9163817783672653, 0.43142444059950025, 0.12433858769060939, 0.8811248244803922, 0.33677110877609695, 0.9685700375425377, 0.13871635610401803, 0.20176331575863357, 0.278960761310376, 0.9131356144594661, 0.8881458596255968, 0.32919065489338717, 0.35354219058917785, 0.9572316473444865, 0.6031944597530975, 0.8775542253280807, 0.5702515323364287, 0.9773070477712192, 0.9797725748120546, 0.2950896725241436]"
S1_Spectrogram,LogisticRegression,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'solver': 'lbfgs'}",0.642,0.0555,0.6949,0.6267,0.65,0.6,0.9,0.6,-0.0154,1.5,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0.9829728867165957, 0.6312176294774107, 0.44283929997085125, 0.7366743325109839, 0.014135579742245337, 0.8904464347611426, 0.23940101872328268, 0.13351835354202082, 0.26669060776909903, 0.7930951902545941, 0.8400762672298983, 0.2988815182976011, 0.35781938278990566, 0.7956426747859675, 1.5936415412459082e-05, 0.943137162906859, 0.550151753371838, 0.9826619944859317, 0.9276561528850109, 0.3508408625049145]"
S1_Spectrogram,XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'scale_pos_weight': 2.0}",0.6439,0.1414,0.6566,0.6267,0.65,0.64,0.9,0.6,-0.0172,1.8,"[1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0.984207272529602, 0.04093185067176819, 0.41203081607818604, 0.9304904937744141, 0.02751665934920311, 0.986916184425354, 0.20398084819316864, 0.08465423434972763, 0.6150380373001099, 0.9768683910369873, 0.8241362571716309, 0.4964422881603241, 0.3710469901561737, 0.9869210720062256, 0.1367044597864151, 0.9970670342445374, 0.77619868516922, 0.9856906533241272, 0.9715099930763245, 0.274538516998291]"
S2_MFCC,RandomForest,"{'n_estimators': 300, 'max_depth': None, 'class_weight': 'balanced'}",0.6612,0.0831,0.7088,0.6011,0.65,0.585,0.3,1.0,-0.0601,5.7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.8, 0.39666666666666667, 0.55, 0.6633333333333333, 0.36333333333333334, 0.56, 0.6566666666666666, 0.36, 0.5866666666666667, 0.77, 0.6366666666666667, 0.4, 0.47333333333333333, 0.7533333333333333, 0.23666666666666666, 0.5866666666666667, 0.8866666666666667, 0.89, 0.8566666666666667, 0.48333333333333334]"
S2_MFCC,SVM,"{'C': 10.0, 'kernel': 'rbf', 'gamma': 'scale', 'class_weight': 'balanced'}",0.671,0.0557,0.7074,0.5489,0.55,0.52,0.5,0.5556,-0.1221,1.4,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.28527424756424985, 0.08092486198117196, 0.19478257516255842, 0.8558918976827847, 0.008047914060867169, 0.3348108216389528, 0.7807573033024132, 0.04806620036118003, 0.8077947389265543, 0.6460169637637968, 0.2532901900047103, 0.014279996755859394, 0.2608633904198194, 0.7999323529838522, 0.0020882980983775107, 0.37074408314054763, 0.9447315956293911, 0.7116088152404862, 0.8544989489966223, 0.12862375115755406]"
S2_MFCC,LogisticRegression,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'solver': 'lbfgs'}",0.6628,0.1061,0.7088,0.697,0.7,0.67,0.6,0.75,0.0342,1.5,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[0.5414084992363016, 0.34396122637200327, 0.12590477135654815, 0.9020142959897499, 0.12755098639252338, 0.7828276717774744, 0.6620159163800756, 0.6145514237589489, 0.6771926446444738, 0.6925576745577078, 0.5978685483162979, 0.21735979210475323, 0.6347592753298117, 0.9202731582340518, 0.04776797230047691, 0.803318721056727, 0.8403329297813568, 0.7843789146180364, 0.8052912014834723, 0.9198224745478176]"
S2_MFCC,XGBoost,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05, 'scale_pos_weight': 2.0}",0.4806,0.1434,0.5368,0.6491,0.65,0.64,0.7,0.6364,0.1685,1.9,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1]","[0.9938615560531616, 0.4590148329734802, 0.35590264201164246, 0.33580952882766724, 0.6724094152450562, 0.33580952882766724, 0.7442383766174316, 0.16387511789798737, 0.6653977632522583, 0.37246018648147583, 0.6766597032546997, 0.09387139976024628, 0.588485836982727, 0.457868754863739, 0.28205084800720215, 0.9787214398384094, 0.987464189529419, 0.9938039779663086, 0.9896302819252014, 0.6770635843276978]"
S3_Wav2Vec,RandomForest,"{'n_estimators': 500, 'max_depth': 8, 'class_weight': 'balanced'}",0.6263,0.1302,0.6831,0.6,0.6,0.53,0.6,0.6,-0.0263,6.3,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0]","[0.764, 0.276, 0.564, 0.776, 0.588, 0.42, 0.688, 0.318, 0.508, 0.83, 0.384, 0.712, 0.592, 0.494, 0.7, 0.54, 0.684, 0.76, 0.904, 0.284]"
S3_Wav2Vec,SVM,"{'C': 10.0, 'kernel': 'rbf', 'gamma': 'scale', 'class_weight': 'balanced'}",0.6733,0.0748,0.6956,0.6011,0.65,0.59,0.3,1.0,-0.0722,1.4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.6120787794022086, 0.1696193566107146, 0.22801329829357994, 0.8215504025043966, 0.22742152886141737, 0.034598372352523374, 0.3733362128004894, 0.2440351821989835, 0.28948467761999924, 0.8135869560368085, 0.09414913949510247, 0.46024124763678465, 0.22949715160256828, 0.31993470273194496, 0.2281555753832918, 0.25436435344821334, 0.8591764642108006, 0.8605060782713864, 0.968049413546963, 0.22241848092120275]"
