scenario,model,best_K,best_cfg_idx,cv_f1_mean,cv_f1_std,cv_acc_mean,test_f1,test_acc,test_auc,overfit_gap,time_s,y_pred,y_prob
S1_Spectrogram,RandomForest,30,0,0.6887,0.062,0.7184,0.6419,0.65,0.49,-0.0468,66.4,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.8766666666666667, 0.4266666666666667, 0.48, 0.64, 0.25666666666666665, 0.63, 0.41, 0.5766666666666667, 0.45666666666666667, 0.88, 0.41333333333333333, 0.31333333333333335, 0.34, 0.75, 0.24666666666666667, 0.6966666666666667, 0.66, 0.7566666666666667, 0.71, 0.49]"
S1_Spectrogram,SVM,30,1,0.6198,0.0497,0.6713,0.5489,0.55,0.57,-0.0709,30.6,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.9201864104811794, 0.5058158842759517, 0.05945127477876702, 0.8456920193674113, 0.022552235608814836, 0.9466619030412943, 0.030837592471674617, 0.2013997160072816, 0.49047549156716824, 0.9950685270854732, 0.908739126629366, 0.36293871085581475, 0.07652494279329806, 0.967437325509609, 0.06657113790133054, 0.3502533204409474, 0.8372497336627497, 0.9570064096921036, 0.9748151748185645, 0.20016071575279376]"
S1_Spectrogram,LogisticRegression,30,2,0.6329,0.101,0.6941,0.6419,0.65,0.61,0.0091,31.4,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[0.9240306144001674, 0.4240805372529394, 0.6403090714049452, 0.6739071731247277, 0.02665686204587816, 0.7513387595451808, 0.1626116441344194, 0.1958847729634408, 0.2898370562613382, 0.7043516662463986, 0.5917677977745206, 0.22897082460522525, 0.4850668345681847, 0.7110770309701726, 0.055396562130586594, 0.9259472836119157, 0.537093714993428, 0.9333532201637619, 0.7826984009744099, 0.4562909453854503]"
S1_Spectrogram,XGBoost,30,2,0.648,0.0781,0.6721,0.6,0.6,0.54,-0.048,33.2,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[0.9930190443992615, 0.2669420838356018, 0.6244498491287231, 0.9291436672210693, 0.24533000588417053, 0.8235123157501221, 0.31011131405830383, 0.7490864396095276, 0.5591611862182617, 0.98989337682724, 0.34933173656463623, 0.11881202459335327, 0.6601571440696716, 0.9323114156723022, 0.22807009518146515, 0.9586499333381653, 0.9796876907348633, 0.9449494481086731, 0.9477482438087463, 0.802349865436554]"
S2_MFCC,RandomForest,50,0,0.6522,0.0647,0.7088,0.6491,0.65,0.62,-0.0031,76.2,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0]","[0.7533333333333333, 0.32666666666666666, 0.5666666666666667, 0.6133333333333333, 0.31666666666666665, 0.4266666666666667, 0.5733333333333334, 0.32666666666666666, 0.5966666666666667, 0.8766666666666667, 0.48333333333333334, 0.37333333333333335, 0.6033333333333334, 0.6466666666666666, 0.3233333333333333, 0.6, 0.9066666666666666, 0.83, 0.8166666666666667, 0.4766666666666667]"
S2_MFCC,SVM,30,0,0.6802,0.0339,0.7316,0.5604,0.6,0.52,-0.1197,40.3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.8496400355701436, 0.15428738487660268, 0.5090894345467478, 0.6876389445335335, 0.2789883963238225, 0.2209011956284789, 0.6551088953079254, 0.13276339599195197, 0.634922236619619, 0.965767682814285, 0.5, 0.24268122376883178, 0.5063716967959428, 0.3681670235963078, 0.08242843630172826, 0.6686314810846796, 0.9392702929698735, 0.865641715520666, 0.8967734294495866, 0.22528698947152384]"
S2_MFCC,LogisticRegression,30,3,0.6235,0.0624,0.6456,0.6267,0.65,0.6,0.0031,41.2,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]","[0.9992397779685466, 0.1008934998907755, 0.27198472406936364, 0.3101869679619202, 0.3296014806492091, 0.49534221597410405, 0.7966760606458665, 0.06619141994570775, 0.7955034968804804, 0.8900443297533523, 0.5883212997645809, 0.43002145141147846, 0.531321073430049, 0.15232066625268795, 0.15175512427127674, 0.912417333665836, 0.9703231460185034, 0.9992490369888989, 0.9737931792232298, 0.2530547489934321]"
S2_MFCC,XGBoost,30,0,0.5881,0.0528,0.6574,0.596,0.6,0.54,0.0079,42.9,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.9943566918373108, 0.18051400780677795, 0.8588459491729736, 0.9335504770278931, 0.28744223713874817, 0.549501895904541, 0.8391755819320679, 0.7697555422782898, 0.5184702277183533, 0.9899605512619019, 0.517659604549408, 0.11488834023475647, 0.5593006610870361, 0.9454052448272705, 0.6597544550895691, 0.9426960349082947, 0.9590907692909241, 0.9903719425201416, 0.9821953177452087, 0.5415294170379639]"
S3_Wav2Vec,RandomForest,80,2,0.6441,0.0522,0.7059,0.7442,0.75,0.63,0.1001,48.4,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0.678, 0.317, 0.39, 0.676, 0.476, 0.438, 0.779, 0.261, 0.438, 0.92, 0.577, 0.793, 0.645, 0.574, 0.496, 0.628, 0.646, 0.879, 0.869, 0.202]"
S3_Wav2Vec,SVM,60,4,0.6733,0.0748,0.6956,0.6011,0.65,0.59,-0.0722,9.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.8500703526562087, 0.13667313417512822, 0.21612937948118768, 0.8368073687708302, 0.21634301932351857, 0.030701210974704685, 0.36531919827716275, 0.303683525509032, 0.3925278683760131, 0.8383203242461833, 0.06262710051143441, 0.5331898032893944, 0.26693430735045287, 0.3328795272739635, 0.21695370511874665, 0.291252950595539, 0.8879142071864502, 0.8989144610892346, 0.9727554885111006, 0.29292926770627525]"
S3_Wav2Vec,LogisticRegression,80,3,0.6505,0.0416,0.6706,0.6491,0.65,0.66,-0.0014,9.6,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[0.9855023063172308, 0.003166662448147201, 3.4426766212381076e-06, 0.7956835722083531, 1.4998959715819098e-05, 0.11616243870528416, 0.9815303502642586, 0.0011563660742671654, 0.011605517963877498, 0.9943850361184837, 0.0863025576344379, 0.9982854863125603, 0.4869242578792839, 0.49312285451887966, 1.0489984769370689e-07, 0.9970448451636751, 0.732622057600533, 0.9976046596218875, 0.9918418363335738, 0.0042967800035221895]"
S3_Wav2Vec,XGBoost,80,0,0.5832,0.1067,0.6088,0.6419,0.65,0.6,0.0587,12.1,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]","[0.847864031791687, 0.18650655448436737, 0.09620194882154465, 0.5665910243988037, 0.5724703073501587, 0.06647001206874847, 0.9837127923965454, 0.022015932947397232, 0.1350029557943344, 0.9830173254013062, 0.82736736536026, 0.9856491088867188, 0.3251345157623291, 0.5560352206230164, 0.5430751442909241, 0.6731345653533936, 0.16144870221614838, 0.9358899593353271, 0.905826985836029, 0.028941981494426727]"
S4_Fusion,RandomForest,50,4,0.64,0.0372,0.6713,0.5833,0.6,0.48,-0.0567,101.4,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.882, 0.61, 0.604, 0.824, 0.672, 0.778, 0.614, 0.262, 0.596, 0.918, 0.626, 0.462, 0.358, 0.872, 0.302, 0.578, 0.928, 0.966, 0.95, 0.514]"
S4_Fusion,SVM,60,4,0.6676,0.0655,0.7081,0.5604,0.6,0.48,-0.1071,65.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]","[0.1514707550071724, 0.7281677973577891, 0.32924839878075485, 0.79838938222441, 0.513591767317955, 0.7866549857054079, 0.649439089051454, 0.05196630126804361, 0.38619512151644214, 0.9629604347046805, 0.8205106375120239, 0.8957956843326692, 0.08393027080119277, 0.6757306289953998, 0.24498283258229386, 0.4178595789363073, 0.9293152884789375, 0.21233876988332046, 0.6636943812376919, 0.040591211878734365]"
S4_Fusion,LogisticRegression,50,1,0.6731,0.0631,0.7331,0.5833,0.6,0.53,-0.0897,67.3,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[0.8142769160956158, 0.42556966852525746, 0.46845173015667196, 0.6125783412185906, 0.42144166835318, 0.5279533149629264, 0.5417821447509186, 0.30692243994553464, 0.4968415120599896, 0.7329140670024179, 0.4800776258708999, 0.502464027975, 0.4870520052216089, 0.5790509180293985, 0.17273223944891744, 0.548692442825674, 0.6952226161815155, 0.8044378171819676, 0.6906647428025171, 0.38160455208982497]"
S4_Fusion,XGBoost,50,3,0.5904,0.0815,0.6338,0.6,0.6,0.53,0.0096,69.2,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.9878911972045898, 0.2869374454021454, 0.5033043622970581, 0.798712432384491, 0.3766855001449585, 0.6939264535903931, 0.869207501411438, 0.16573351621627808, 0.6914654970169067, 0.9692147374153137, 0.794262170791626, 0.4622277021408081, 0.19338950514793396, 0.907075822353363, 0.11098983138799667, 0.8023905158042908, 0.9277368783950806, 0.9708474278450012, 0.9895066618919373, 0.249588742852211]"
S4_Fusion,Voting_4Models,50,-1,0.6684,0.0489,0.7081,0.596,0.6,0.52,-0.0724,6.0,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.795848988229345, 0.35462753399051394, 0.33129929330730185, 0.7688844132922015, 0.48133136161250056, 0.583734886085137, 0.4016676281884071, 0.0904521669320584, 0.5483147989948718, 0.9152838871665612, 0.6686665252501278, 0.3731159443716806, 0.18302796577153835, 0.6742051206961508, 0.2501834293298155, 0.5464369960901224, 0.8278584174877679, 0.8771279485454702, 0.9121971272766315, 0.21876240851288326]"
S5_FusionEng,RandomForest,30,2,0.7149,0.0588,0.7441,0.6703,0.7,0.55,-0.0445,308.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.719, 0.483, 0.323, 0.685, 0.247, 0.587, 0.348, 0.147, 0.474, 0.676, 0.426, 0.376, 0.214, 0.723, 0.111, 0.375, 0.815, 0.847, 0.788, 0.264]"
S5_FusionEng,SVM,60,0,0.6757,0.0448,0.7074,0.5833,0.6,0.59,-0.0923,276.8,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[0.6949870556302616, 0.11327112228286672, 0.03758685868092559, 0.7485983966104286, 0.1979198263608565, 0.8375780153561397, 0.38604132005848335, 0.03874063712602611, 0.8253974282537349, 0.9307416359075278, 0.7157714674548386, 0.2204135257424948, 0.10144193921939948, 0.906710332297487, 0.24003003056646416, 0.26717210967603283, 0.8707398479954354, 0.8346715722527025, 0.9781911037765562, 0.13906861274018018]"
S5_FusionEng,LogisticRegression,30,2,0.6632,0.0782,0.6963,0.6,0.6,0.57,-0.0632,280.3,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.9437319862261261, 0.20472096550078325, 0.18431756217635153, 0.9037810209096748, 0.16220220473991354, 0.7759195212054095, 0.2697563217570237, 0.04619410602282407, 0.37239030176080856, 0.8437249183226797, 0.5356939230892804, 0.32557714738646304, 0.10821719153824254, 0.919521551955558, 0.016127736680635392, 0.7666186678734633, 0.841969711754786, 0.9467388987378743, 0.9576455043600077, 0.20005806021256697]"
