scenario,model,best_K,best_bal,best_cfg_idx,cv_f1_mean,cv_f1_std,cv_acc_mean,test_f1,test_acc,test_auc,overfit_gap,time_s,y_pred,y_prob
S1_Spectrogram,RandomForest,50,none,1,0.7282,0.0857,0.7574,0.4949,0.5,0.38,-0.2333,367.2,"[1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1]","[0.494, 0.266, 0.364, 0.422, 0.248, 0.472, 0.248, 0.434, 0.276, 0.484, 0.202, 0.084, 0.392, 0.47, 0.238, 0.554, 0.402, 0.322, 0.256, 0.368]"
S1_Spectrogram,SVM,80,smoteenn,3,0.5929,0.0332,0.6824,0.697,0.7,0.66,0.1041,46.1,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0.7804592369265679, 0.03407095774049083, 0.009075211881061014, 0.7426787461337491, 0.04107824228137939, 0.7452977889446495, 0.0982814785071655, 0.08342837575130525, 0.09585051514651764, 0.9054136858489455, 0.5, 0.06170390263206323, 0.06084448059283526, 0.93572373004813, 0.2625465171883959, 0.5738330920365131, 0.6431409659579006, 0.9136190941144813, 0.9710831012027201, 0.13528675457167935]"
S1_Spectrogram,LogisticRegression,30,smoteenn,1,0.6745,0.1027,0.7184,0.6491,0.65,0.63,-0.0254,46.1,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0]","[0.9330106452173984, 0.357808875177034, 0.5465263381877346, 0.5728981409463911, 0.02921735481421894, 0.719635897178033, 0.23434140825084687, 0.21079143068538048, 0.3123874377747914, 0.752192298079233, 0.7360802184974197, 0.17134698942994303, 0.6165275288726959, 0.6218005317936429, 0.07685221549101873, 0.9308039734276079, 0.5639154520763956, 0.9385034741760601, 0.8121301949420645, 0.4804678018086457]"
S1_Spectrogram,XGBoost,50,none,5,0.7775,0.1007,0.8044,0.4373,0.45,0.34,-0.3401,71.9,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]","[0.8448616862297058, 0.05986102670431137, 0.19029273092746735, 0.5178110003471375, 0.0865621417760849, 0.8603727221488953, 0.48420459032058716, 0.5118886232376099, 0.6317024230957031, 0.8104617595672607, 0.037286426872015, 0.009328652173280716, 0.5865748524665833, 0.7131021022796631, 0.044860947877168655, 0.9581578969955444, 0.32750341296195984, 0.1814398169517517, 0.08872931450605392, 0.5094229578971863]"
S2_MFCC,RandomForest,30,none,2,0.7955,0.0555,0.8301,0.6491,0.65,0.54,-0.1464,385.3,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1]","[0.588, 0.227, 0.463, 0.244, 0.156, 0.246, 0.147, 0.451, 0.231, 0.369, 0.099, 0.138, 0.391, 0.373, 0.255, 0.196, 0.582, 0.444, 0.486, 0.404]"
S2_MFCC,SVM,60,smote,5,0.7308,0.1047,0.7824,0.5238,0.6,0.44,-0.2069,52.8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0.006065834024476666, 0.4236523306342238, 0.055216132737799226, 0.3613856886678263, 0.025601489730673773, 0.0610544594064986, 0.27892512606761005, 0.4691523226589753, 0.33084405631019376, 0.5088846353907474, 0.1476078145917419, 0.17789359685160752, 0.7370545919799371, 0.0559235355601238, 0.013270715106983088, 0.20294206624024796, 0.7235025838749667, 0.22087243199151613, 0.0353538280016158, 0.05278203238191927]"
S2_MFCC,LogisticRegression,60,none,2,0.6856,0.093,0.7301,0.5396,0.55,0.48,-0.146,52.8,"[1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1]","[0.9706247328423429, 0.9079432942802759, 0.013056098170798761, 0.7742399827976051, 0.40651695991314196, 0.3378400804019321, 0.9050243599710895, 0.8775566802965408, 0.9272602626397608, 0.28429456311240653, 0.18925127645183953, 0.06281901368954713, 0.9400540858727704, 0.11199621116880071, 0.745511913287891, 0.7827102528618735, 0.9216993667371032, 0.8836866031416538, 0.9297626349236253, 0.7520275304466738]"
S2_MFCC,XGBoost,30,none,1,0.766,0.03,0.7801,0.596,0.6,0.43,-0.17,85.0,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1]","[0.7566623687744141, 0.454887330532074, 0.8293518424034119, 0.17576469480991364, 0.08408848941326141, 0.27869606018066406, 0.07548220455646515, 0.69405198097229, 0.07997012138366699, 0.2940466105937958, 0.02068447321653366, 0.029237721115350723, 0.6143085360527039, 0.5069316625595093, 0.28410640358924866, 0.0305918138474226, 0.6380179524421692, 0.15866385400295258, 0.6612529754638672, 0.6317386031150818]"
S3_Wav2Vec,RandomForest,ALL,smote,6,0.6731,0.1029,0.7059,0.5489,0.55,0.51,-0.1242,248.4,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]","[0.4829000000000001, 0.3792999999999999, 0.3566666666666666, 0.5358666666666666, 0.23215238095238103, 0.3288333333333333, 0.3651, 0.39789999999999986, 0.3169666666666666, 0.6532285714285714, 0.2801809523809524, 0.39164761904761913, 0.43376666666666663, 0.363004761904762, 0.2642, 0.28446666666666653, 0.5710999999999999, 0.5375666666666666, 0.6592857142857144, 0.33606666666666674]"
S3_Wav2Vec,SVM,50,smote,5,0.6741,0.0825,0.6956,0.596,0.6,0.52,-0.0782,20.1,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]","[0.34597954406129006, 0.7675420799262709, 1.6766635972710543e-06, 0.30838947174075915, 0.016354109841070892, 0.1835016542541973, 0.5117843951099639, 0.507463267691863, 0.20653711283085618, 0.25249893352592473, 0.4149356634168358, 0.22834267927411023, 0.30247389138680025, 0.6353207097517886, 1.0000000994736041e-07, 0.14075777832298653, 0.4193256263729685, 0.3316758450778405, 0.4215762861001466, 0.30762174633294864]"
S3_Wav2Vec,LogisticRegression,60,smote,5,0.7137,0.0728,0.7309,0.7494,0.75,0.79,0.0357,20.5,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1]","[0.970906471448784, 0.5217763051470614, 0.004455074943242852, 0.3813619669362337, 0.021824506056529493, 0.0028332817596313908, 0.020479028034437644, 0.2622936199263132, 0.12790150368328887, 0.6137056918227978, 0.6066818779751882, 0.29338665373395856, 0.6231287304731746, 0.568471327362436, 0.948353734607731, 0.8455451576174432, 0.9475874251723495, 0.2667944589876413, 0.3480294778625664, 0.7229976199799495]"
S3_Wav2Vec,XGBoost,50,none,0,0.6581,0.0402,0.6824,0.5396,0.55,0.44,-0.1185,30.8,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1]","[0.41337233781814575, 0.5254800319671631, 0.37790200114250183, 0.8983086347579956, 0.03975240886211395, 0.16912348568439484, 0.07433569431304932, 0.530751645565033, 0.14866115152835846, 0.9342924356460571, 0.06676091253757477, 0.29728811979293823, 0.8931514620780945, 0.21389561891555786, 0.02742900513112545, 0.1042289137840271, 0.9114791750907898, 0.23713743686676025, 0.8291822671890259, 0.20065078139305115]"
S4_Fusion,RandomForest,30,none,0,0.8343,0.0478,0.8412,0.5833,0.6,0.47,-0.251,420.4,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0]","[0.55, 0.22333333333333333, 0.36333333333333334, 0.4266666666666667, 0.21333333333333335, 0.4166666666666667, 0.12333333333333334, 0.53, 0.25333333333333335, 0.4166666666666667, 0.11, 0.11333333333333333, 0.44, 0.45, 0.21666666666666667, 0.28, 0.51, 0.3566666666666667, 0.5266666666666666, 0.38]"
S4_Fusion,SVM,50,smote,5,0.699,0.0555,0.7456,0.5,0.5,0.39,-0.199,76.3,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0]","[0.057562281699901414, 0.07871251034779228, 0.2676617456706093, 0.19927796528816674, 0.04294356127438775, 0.4434716049670194, 0.1431201827976034, 0.4717244673364285, 0.14057657872872364, 0.2625084451727088, 0.2981577337982723, 0.24443276948607753, 0.2011761724818974, 0.06165649428243329, 0.09783551819111161, 0.025811870441050738, 0.16930033381467668, 0.11617933787050642, 0.1919193009483491, 0.053847198103763046]"
S4_Fusion,LogisticRegression,ALL,smoteenn,5,0.5397,0.083,0.586,0.5396,0.55,0.44,-0.0001,75.2,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[0.9925642661630889, 0.8353937208430622, 0.645935681515209, 0.9358075645698617, 0.08670068722690863, 0.9792782326446307, 0.2158523344280629, 0.005816790393857666, 0.4358563750930247, 0.8705485974046557, 0.6555996036851798, 0.3205611424573705, 0.008995690177733951, 0.9191728262134727, 0.00044278684223077175, 0.9189229341519923, 0.29230305067968126, 0.9906996395769609, 0.9599431544155113, 0.00812061220729041]"
S4_Fusion,XGBoost,30,smote,1,0.8026,0.0828,0.8294,0.4133,0.45,0.27,-0.3893,121.2,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[0.8652592301368713, 0.14924652874469757, 0.7518906593322754, 0.963715672492981, 0.10475357621908188, 0.9514452219009399, 0.2509233355522156, 0.8209299445152283, 0.23693151772022247, 0.7665331959724426, 0.011931459419429302, 0.013492041267454624, 0.38751623034477234, 0.3553197383880615, 0.1357792615890503, 0.04368360713124275, 0.8317219614982605, 0.09367142617702484, 0.9545701742172241, 0.22349587082862854]"
S5_FusionEng,RandomForest,80,smote,0,0.8165,0.0438,0.8301,0.6,0.6,0.475,-0.2165,742.5,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]","[0.74, 0.3333333333333333, 0.4066666666666667, 0.61, 0.19333333333333333, 0.44, 0.35, 0.59, 0.4666666666666667, 0.5033333333333333, 0.18333333333333332, 0.20666666666666667, 0.49333333333333335, 0.59, 0.32, 0.30333333333333334, 0.5133333333333333, 0.6033333333333334, 0.75, 0.48333333333333334]"
S5_FusionEng,SVM,60,smoteenn,5,0.7112,0.0332,0.7449,0.596,0.6,0.48,-0.1153,240.5,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.9945634806319654, 0.32791461551831425, 0.27962411576547286, 0.12166834347796762, 0.0035781930236259314, 0.14426907020562746, 0.1867754024967736, 0.5542052089672344, 0.3040842829036059, 0.8429251461969277, 0.5609146765616169, 0.20479863501631984, 0.12177023031351644, 0.36072241395152455, 0.00017324512081844088, 0.006649841799291997, 0.9583404455181758, 0.9791891360128464, 0.5154754538744497, 0.06400366409885201]"
S5_FusionEng,LogisticRegression,50,smoteenn,0,0.6681,0.0711,0.7449,0.5833,0.6,0.53,-0.0848,237.3,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.9060978330982232, 0.28250363390454464, 0.30357289550505523, 0.67708217785237, 0.4613947942047747, 0.5380634523477286, 0.4226306116851821, 0.1671366162260499, 0.4988179807655717, 0.723180951348219, 0.44533277572352586, 0.3420660361093417, 0.30399423733046504, 0.6856281231295619, 0.2727463022338611, 0.4600387635267063, 0.785382354289423, 0.9004505574926008, 0.7642016702576188, 0.3066147815405321]"
S5_FusionEng,XGBoost,80,none,5,0.8478,0.0556,0.8662,0.5489,0.55,0.46,-0.299,391.7,"[1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]","[0.9372385144233704, 0.0838424488902092, 0.8856583833694458, 0.8709139227867126, 0.02616608887910843, 0.6978399753570557, 0.10918927937746048, 0.830072820186615, 0.4155569076538086, 0.3151763677597046, 0.031259164214134216, 0.022888928651809692, 0.5682916045188904, 0.8268294334411621, 0.33865660429000854, 0.08556230366230011, 0.8311830163002014, 0.7953940033912659, 0.9778755903244019, 0.6128642559051514]"
S6_Wav2VecEng,RandomForest,30,none,0,0.7234,0.0723,0.7316,0.4872,0.55,0.35,-0.2362,284.0,"[1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]","[0.38666666666666666, 0.3, 0.29, 0.78, 0.36, 0.37333333333333335, 0.09, 0.42, 0.15333333333333332, 0.6, 0.20333333333333334, 0.3233333333333333, 0.19, 0.12666666666666668, 0.2733333333333333, 0.21333333333333335, 0.57, 0.19333333333333333, 0.5933333333333334, 0.33]"
S6_Wav2VecEng,SVM,50,smote,5,0.7492,0.0777,0.7699,0.6419,0.65,0.63,-0.1073,26.7,"[1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[0.7219804612093434, 0.27400178427778177, 1.0000000994736041e-07, 0.2752760582953278, 0.0004984311387331921, 0.07952365609918281, 0.20395350873199272, 0.3711946498740211, 0.24784859157762415, 0.20243159379276415, 0.34857582802727316, 0.42489043352580647, 0.24896006820349392, 0.31453360640407657, 3.330961402871886e-05, 0.24605496068270183, 0.30284267378783564, 0.45462543693957064, 0.2624559183784646, 0.19758614311258202]"
S6_Wav2VecEng,LogisticRegression,ALL,smote,5,0.6661,0.0646,0.6824,0.7442,0.75,0.71,0.0781,26.6,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0.9902497329220058, 0.6758923847256785, 9.564231180250789e-05, 0.4694985043349412, 0.0004631963655369457, 0.003958473463613166, 0.04548689129562417, 0.17588027622029748, 0.13224386576018068, 0.7256289508319321, 0.5328251472832517, 0.04996452049072928, 0.2835902484323903, 0.3066099236849234, 0.9997531863424859, 0.9605091774927649, 0.9721546837164398, 0.62913121257695, 0.35791812038298415, 0.6273130133173922]"
S6_Wav2VecEng,XGBoost,30,none,5,0.7107,0.077,0.7434,0.4505,0.5,0.32,-0.2602,43.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]","[0.22442594170570374, 0.5206181406974792, 0.19346849620342255, 0.9501778483390808, 0.40762025117874146, 0.314066618680954, 0.08764071017503738, 0.5202928781509399, 0.17378069460391998, 0.8398510813713074, 0.05893336981534958, 0.1292738914489746, 0.06018752604722977, 0.1185828149318695, 0.7413125038146973, 0.1415272206068039, 0.5491538047790527, 0.1841008961200714, 0.3930318355560303, 0.49473127722740173]"
S4_Fusion,WtdVoting_4M,30,mixed,-1,0.7991,0.0718,0.8294,0.4505,0.5,0.36,-0.3485,5.0,"[1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]","[0.5630296575738675, 0.2256147079772474, 0.3903123694728227, 0.6810256500484948, 0.13633548948171553, 0.682848675244849, 0.32948696270380134, 0.38768247979932324, 0.48782917916886276, 0.6582766464954573, 0.2678959515021518, 0.236044818205863, 0.32558713031533865, 0.55367065031158, 0.15282613669857506, 0.1331832620925959, 0.6804446603419689, 0.43206662036066507, 0.6747343938117403, 0.2894904714976908]"
S5_FusionEng,WtdVoting_4M,80,mixed,-1,0.7673,0.0621,0.7816,0.5833,0.6,0.44,-0.184,12.6,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.885699239909556, 0.42156991056841175, 0.5697896517332509, 0.6775624637217234, 0.17004214539932339, 0.5544866141690542, 0.34154720527861393, 0.6074490831665278, 0.4961965782656835, 0.59176723783182, 0.4008161333565706, 0.22558795261350217, 0.3559687497528461, 0.7801081239867339, 0.2615212844305765, 0.2903199593968096, 0.6654473857641652, 0.8285769755801493, 0.8653383773555926, 0.40007235814775144]"
S3_Wav2Vec,WtdVoting_4M,None,mixed,-1,0.7024,0.0777,0.7301,0.7333,0.75,0.59,0.0309,3.9,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.6012038181017625, 0.41850478733449586, 0.15352489338500228, 0.45179650316810543, 0.07073193683830617, 0.17338675802022574, 0.21454135635446875, 0.45853438238306293, 0.21540133835857406, 0.6021868784692952, 0.36623908975799263, 0.41208194183152597, 0.4352769485148322, 0.3801098287962213, 0.317314006342162, 0.3425362595847769, 0.7000286902183804, 0.3761839128131046, 0.5886035929036347, 0.3771146652811402]"
S6_Wav2VecEng,WtdVoting_4M,30,mixed,-1,0.7306,0.0513,0.7441,0.6703,0.7,0.55,-0.0603,3.1,"[1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.37694102880751923, 0.43313089517660586, 0.1970129036860452, 0.682534779772333, 0.3504904023775194, 0.23566826599299207, 0.13986128371601794, 0.4190097365405294, 0.20481401593359205, 0.5508485927506799, 0.28020884376078076, 0.3436800886300675, 0.3278431001869905, 0.29785987886110366, 0.4177501411372751, 0.25950617743987375, 0.5786471391145435, 0.29528242650509523, 0.538465248371963, 0.4731062922057917]"
