scenario,model,best_K,balancing,best_cfg_idx,cv_f1_mean,cv_f1_std,cv_acc_mean,test_f1,test_acc,test_auc,overfit_gap,time_s,y_pred,y_prob
S1_Spectrogram,LogisticRegression,30,smoteenn,8,0.6773,0.0816,0.7184,0.6267,0.65,0.58,-0.0506,48.8,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0.9856190693496598, 0.43144983031670714, 0.8281240918593583, 0.6049485220908124, 0.08627659730244454, 0.8766790599159264, 0.047435321257211296, 0.13719034385059287, 0.16727751142159977, 0.9457463933311046, 0.5848470743804003, 0.15833710410918744, 0.23716462793104762, 0.7931268656028339, 0.3333696018314147, 0.9831796625094102, 0.47493947330320824, 0.9931892728040663, 0.9187308999404952, 0.33319943641725297]"
S1_Spectrogram,RandomForest,30,smoteenn,1,0.6598,0.0432,0.7066,0.6,0.6,0.47,-0.0598,64.4,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.86, 0.619, 0.385, 0.836, 0.368, 0.905, 0.354, 0.574, 0.539, 0.832, 0.706, 0.399, 0.332, 0.852, 0.194, 0.695, 0.703, 0.844, 0.857, 0.371]"
S1_Spectrogram,SVM,80,smoteenn,6,0.5754,0.0197,0.6221,0.6267,0.65,0.6,0.0513,32.6,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0.9927267440239262, 0.7428982096704209, 0.9148044125496713, 0.47902029784320654, 0.033398554937571344, 0.9902751772240534, 0.317576485919177, 0.2880959243107269, 0.13404879093871527, 0.7980630452040557, 0.9426394343230635, 0.4619499185801962, 0.7388905101869203, 0.9406869734728933, 0.0004293880211123822, 0.9974057498165583, 0.3967491395606152, 0.9923198130888663, 0.9821415408667993, 0.3741426771172645]"
S1_Spectrogram,XGBoost,80,smoteenn,1,0.5378,0.069,0.5728,0.52,0.55,0.46,-0.0178,26.9,"[1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[0.9886118769645691, 0.8964638113975525, 0.8141046166419983, 0.984264075756073, 0.1579122245311737, 0.9675281047821045, 0.14502085745334625, 0.9051227569580078, 0.9541257619857788, 0.9875099658966064, 0.904208779335022, 0.9478064179420471, 0.8306496739387512, 0.9818437695503235, 0.1297685205936432, 0.8594844937324524, 0.9798550605773926, 0.9872252345085144, 0.9693031311035156, 0.5901458263397217]"
S2_MFCC,LogisticRegression,30,smoteenn,7,0.6344,0.0474,0.6581,0.6,0.6,0.58,-0.0344,65.0,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0]","[0.997790112184265, 0.15054365341461257, 0.35740890567180156, 0.39515262546265434, 0.37476631744186084, 0.49847712706563324, 0.7416939624430423, 0.1154152813049458, 0.7499835890695975, 0.8765071344484735, 0.5352925491749808, 0.45642041327462285, 0.5903108051748338, 0.23063716941295057, 0.24578498731272447, 0.861547758586202, 0.9597209545937003, 0.9977382979329781, 0.9439820630942451, 0.2956077912598855]"
S2_MFCC,RandomForest,50,smoteenn,3,0.6834,0.0624,0.7324,0.6419,0.65,0.58,-0.0415,72.4,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.73, 0.301, 0.523, 0.616, 0.337, 0.568, 0.527, 0.451, 0.574, 0.706, 0.48, 0.317, 0.542, 0.7, 0.256, 0.654, 0.831, 0.774, 0.761, 0.514]"
S2_MFCC,SVM,30,smoteenn,2,0.6802,0.0339,0.7316,0.5604,0.6,0.52,-0.1197,43.8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.8496400355701436, 0.15428738487660268, 0.5090894345467478, 0.6876389445335335, 0.2789883963238225, 0.2209011956284789, 0.6551088953079254, 0.13276339599195197, 0.634922236619619, 0.965767682814285, 0.5, 0.24268122376883178, 0.5063716967959428, 0.3681670235963078, 0.08242843630172826, 0.6686314810846796, 0.9392702929698735, 0.865641715520666, 0.8967734294495866, 0.22528698947152384]"
S2_MFCC,XGBoost,30,smoteenn,1,0.585,0.0572,0.6449,0.596,0.6,0.48,0.0109,35.5,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.9886257648468018, 0.21847882866859436, 0.8219854235649109, 0.9391205310821533, 0.32213714718818665, 0.6797189116477966, 0.8031631112098694, 0.7032615542411804, 0.7789862751960754, 0.9783252477645874, 0.47297272086143494, 0.12222789227962494, 0.6609053015708923, 0.9195564985275269, 0.6874184608459473, 0.9063805341720581, 0.9401267170906067, 0.9866144061088562, 0.973427951335907, 0.5906389355659485]"
S3_Wav2Vec,LogisticRegression,60,smoteenn,11,0.6706,0.084,0.6949,0.697,0.7,0.64,0.0264,23.5,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0.9997457653404865, 0.0034593366890977415, 0.13819186284017124, 0.7851190550546022, 0.021022106882093362, 0.027336810586850384, 0.6457237672690921, 0.10378722136604372, 0.10310689162389772, 0.7980687666450077, 0.00411654121354036, 0.8065272518864037, 0.15327543696705623, 0.5294031217261257, 0.5809952767806167, 0.3856401528905945, 0.8619106546566692, 0.9755650941071786, 0.9414574772950108, 0.07517771011400158]"
S3_Wav2Vec,RandomForest,ALL,smoteenn,1,0.6441,0.0522,0.7059,0.7442,0.75,0.63,0.1001,68.6,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0.678, 0.317, 0.39, 0.676, 0.476, 0.438, 0.779, 0.261, 0.438, 0.92, 0.577, 0.793, 0.645, 0.574, 0.496, 0.628, 0.646, 0.879, 0.869, 0.202]"
