scenario,model,best_ncomp,best_scaler,best_cfg_idx,cv_f1_mean,cv_f1_std,cv_acc_mean,test_f1,test_acc,test_auc,overfit_gap,time_s,y_pred,y_prob
S1_Spectrogram,LogisticRegression,20,robust,6,0.6575,0.0614,0.7206,0.5489,0.55,0.5,-0.1087,35.3,"[0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1]","[0.018067933468301146, 0.5251611827674635, 0.8328462892408217, 0.6964109660630585, 0.5289742029544316, 0.6360040261574716, 0.4605863484097857, 0.24371552529819002, 0.8385974247140802, 0.7593407381513002, 0.7613987087697542, 0.5269748667285314, 0.446061496788219, 0.780856953278308, 0.6224678002580043, 0.2050829134256836, 0.6859527940843814, 0.09619796718436552, 0.9394342040257054, 0.5857749667022686]"
S1_Spectrogram,RandomForest,20,robust,1,0.6042,0.0572,0.6838,0.6419,0.65,0.55,0.0378,142.5,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]","[0.466, 0.561, 0.619, 0.698, 0.376, 0.716, 0.369, 0.453, 0.459, 0.697, 0.477, 0.486, 0.507, 0.745, 0.502, 0.454, 0.524, 0.408, 0.851, 0.48]"
S1_Spectrogram,SVM,15,standard,2,0.6367,0.0976,0.6838,0.596,0.6,0.56,-0.0408,29.7,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[0.47839915333352945, 0.20100088024695822, 0.45775617619620296, 0.9812193315111764, 0.04448639834043597, 0.9872027484678886, 0.02769283489583159, 0.08250915618853018, 0.07018779235541123, 0.8004539410975484, 0.03461426064378738, 0.2719758905018106, 0.08770167439777347, 0.9741386723475539, 0.3339766726601844, 0.9650895313518837, 0.8164767691277443, 0.7387760831473228, 0.6624977470749012, 0.07772892981629284]"
S1_Spectrogram,XGBoost,20,robust,2,0.5865,0.0549,0.6346,0.6419,0.65,0.55,0.0555,23.9,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1]","[0.3121136426925659, 0.8345077633857727, 0.8581230640411377, 0.8993281126022339, 0.3518688380718231, 0.6100423336029053, 0.38351330161094666, 0.17390404641628265, 0.32849568128585815, 0.8818289637565613, 0.7181795239448547, 0.296640545129776, 0.6847643852233887, 0.8690332770347595, 0.8016652464866638, 0.3968629539012909, 0.5317538976669312, 0.3211270868778229, 0.9688602089881897, 0.6922405958175659]"
S2_MFCC,LogisticRegression,30,standard,6,0.615,0.106,0.6581,0.6267,0.65,0.53,0.0117,43.8,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.9143013575094302, 0.7311195317518195, 0.04666650365721557, 0.33717918789974216, 0.24742317530042682, 0.46961362449849564, 0.7391120420791639, 0.08131311523828874, 0.49112981033929054, 0.6313363689969824, 0.8521413740123839, 0.31602064877277675, 0.35736694383821943, 0.3000722382402173, 0.14346693051655462, 0.31299707447105635, 0.8694905010137571, 0.8722701059376189, 0.8367207553453571, 0.16937387349260552]"
S2_MFCC,RandomForest,20,robust,4,0.6735,0.0715,0.7316,0.5396,0.55,0.51,-0.1339,128.5,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1]","[0.6577025603606901, 0.9545381068741368, 0.3585592211331611, 0.7610715292292225, 0.4091047344218196, 0.8725012679385828, 0.773878200152388, 0.5334280903938078, 0.8291788243985733, 0.802089939431345, 0.9438108310854939, 0.7319285914168493, 0.6444204654835344, 0.6644346052589793, 0.39539246309189496, 0.5381239074581389, 0.985002371541502, 0.7422470532681433, 0.8737817526343552, 0.7409802103361349]"
S2_MFCC,SVM,20,robust,0,0.6809,0.0387,0.7316,0.5833,0.6,0.53,-0.0976,32.3,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.893923231114156, 0.9096713367113326, 0.24646801602146157, 0.9055307783518002, 0.21545642908068147, 0.8892088376149853, 0.8895923705691413, 0.23146017350226292, 0.9431167348507268, 0.9574722701725373, 0.9463871628680325, 0.6580771116292193, 0.3618244788323294, 0.8121755110957528, 0.05069916171258153, 0.5263578714692508, 0.9614463245741944, 0.9595992394919368, 0.9575625280760253, 0.23441655352667123]"
S2_MFCC,XGBoost,30,robust,0,0.4692,0.0927,0.4993,0.6267,0.65,0.51,0.1574,24.1,"[1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0.9102195501327515, 0.99018794298172, 0.6422203183174133, 0.9169827699661255, 0.6326963901519775, 0.9884486794471741, 0.748140275478363, 0.8355898857116699, 0.959152340888977, 0.9497213959693909, 0.9866652488708496, 0.9046810269355774, 0.8488371968269348, 0.9083542823791504, 0.3241790235042572, 0.8507704138755798, 0.9932270646095276, 0.8468394875526428, 0.9897602200508118, 0.9076604843139648]"
S3_Wav2Vec,LogisticRegression,30,standard,6,0.6842,0.0738,0.7309,0.596,0.6,0.47,-0.0883,32.8,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[0.9345992548412567, 0.04992811860184936, 0.6849530422643724, 0.6382291292602936, 0.06370335635949376, 0.4331033518359141, 0.8273294463821113, 0.10493891423230389, 0.2202135578471253, 0.6782760669709635, 0.08352521201794491, 0.5515168965207282, 0.5521366061865345, 0.4905517465581462, 0.00337116455181876, 0.4800018052283965, 0.6621255046300024, 0.7985518282832502, 0.9011045250885193, 0.0947742898896736]"
S3_Wav2Vec,RandomForest,10,robust,4,0.6187,0.0799,0.6574,0.5238,0.6,0.42,-0.0949,120.1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[0.7919710789339178, 0.05806862352885122, 0.7583535943162953, 0.7225871524261726, 0.3833747323233532, 0.4494940402732401, 0.8061269646620695, 0.1574866551502212, 0.45038372715897185, 0.7250951542090985, 0.47888492815554884, 0.41805565189305355, 0.3410603389818048, 0.35834971254336445, 0.37712475767338755, 0.34628725552803613, 0.6190095126211471, 0.9365325549636458, 0.887508142492399, 0.15354271686540785]"
