scenario,model,best_K,class_weight,best_cfg_idx,cv_f1_mean,cv_f1_std,cv_acc_mean,test_f1,test_acc,test_auc,overfit_gap,time_s,y_pred,y_prob
S1_Spectrogram,LogisticRegression,30,balanced,2,0.6493,0.0304,0.7074,0.6,0.6,0.59,-0.0493,56.0,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.9648258996583651, 0.46484769498594297, 0.5701263970037665, 0.833548558512218, 0.0385553426627654, 0.861075092734532, 0.16075891116648633, 0.09553644985273366, 0.290909077366744, 0.882365243504442, 0.6969135634829083, 0.3556179758030665, 0.3851040756559359, 0.858731229318599, 0.038963797529983274, 0.9593849471876059, 0.672866769487703, 0.9646796388336855, 0.8885553776751789, 0.29951767821251846]"
S1_Spectrogram,RandomForest,30,"{0: 1, 1: 2}",4,0.6823,0.0576,0.7066,0.6419,0.65,0.48,-0.0404,142.8,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.8015896825396812, 0.553410550560551, 0.6035725274725275, 0.5829379675879677, 0.2811419358419358, 0.6133717338217339, 0.47887617937617977, 0.6313163669663671, 0.5542960206460208, 0.8741642857142846, 0.46844632589632634, 0.4729963369963372, 0.376380663780664, 0.7481448051948044, 0.31898528138528165, 0.71520036075036, 0.6514833222333222, 0.6668693528693527, 0.7099272893772888, 0.5647417637917641]"
S1_Spectrogram,SVM,80,"{0: 1, 1: 2}",1,0.6067,0.0327,0.6706,0.6491,0.65,0.68,0.0424,34.6,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0]","[0.5721673664253935, 0.13111947213013028, 0.05667524774283087, 0.9269487804141663, 0.056974128096410365, 0.992788139882362, 0.025519084445338017, 0.05413174080905556, 0.03256731346888776, 0.7451063051262743, 0.9150889788884559, 0.0017426910515726405, 0.09717187510011224, 0.9873204995087969, 0.35920591641291066, 0.9387343408604735, 0.614787265424102, 0.9814393059861365, 0.9921408612610285, 0.13859711338068834]"
S1_Spectrogram,XGBoost,30,n/a,2,0.6623,0.0936,0.6691,0.5489,0.55,0.48,-0.1134,20.7,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.979340672492981, 0.5077288746833801, 0.5438473224639893, 0.9748441576957703, 0.36369588971138, 0.9707061648368835, 0.29734376072883606, 0.8273839950561523, 0.5839191675186157, 0.9750301837921143, 0.690528929233551, 0.536742091178894, 0.5790033340454102, 0.9787296652793884, 0.11260171234607697, 0.9163442254066467, 0.8377068042755127, 0.9710103869438171, 0.9440879821777344, 0.47357943654060364]"
S2_MFCC,LogisticRegression,30,balanced,7,0.6371,0.0766,0.6956,0.5604,0.6,0.5,-0.0767,68.2,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]","[0.9522670015482343, 0.2504258114972038, 0.36525244982735416, 0.47297433178033904, 0.5386612077500231, 0.37725541282919345, 0.6393466904017506, 0.2592337365129532, 0.7155987883561619, 0.7085566631918424, 0.37789182510260677, 0.4341718789481027, 0.3400451032308823, 0.28442632656336503, 0.3682039309450517, 0.7554082113602104, 0.7365234998689436, 0.9787364539818727, 0.6871590172525112, 0.1934179907985619]"
S2_MFCC,RandomForest,30,"{0: 1, 1: 3}",1,0.6807,0.0333,0.7316,0.6,0.6,0.56,-0.0807,155.0,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.914, 0.325, 0.472, 0.496, 0.35, 0.556, 0.611, 0.301, 0.746, 0.954, 0.575, 0.445, 0.457, 0.621, 0.299, 0.714, 0.947, 0.933, 0.915, 0.367]"
S2_MFCC,SVM,30,balanced,0,0.6802,0.0339,0.7316,0.5604,0.6,0.52,-0.1197,44.3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.8496400355701436, 0.15428738487660268, 0.5090894345467478, 0.6876389445335335, 0.2789883963238225, 0.2209011956284789, 0.6551088953079254, 0.13276339599195197, 0.634922236619619, 0.965767682814285, 0.5, 0.24268122376883178, 0.5063716967959428, 0.3681670235963078, 0.08242843630172826, 0.6686314810846796, 0.9392702929698735, 0.865641715520666, 0.8967734294495866, 0.22528698947152384]"
S2_MFCC,XGBoost,30,n/a,1,0.585,0.0572,0.6449,0.596,0.6,0.48,0.0109,29.3,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.9886257648468018, 0.21847882866859436, 0.8219854235649109, 0.9391205310821533, 0.32213714718818665, 0.6797189116477966, 0.8031631112098694, 0.7032615542411804, 0.7789862751960754, 0.9783252477645874, 0.47297272086143494, 0.12222789227962494, 0.6609053015708923, 0.9195564985275269, 0.6874184608459473, 0.9063805341720581, 0.9401267170906067, 0.9866144061088562, 0.973427951335907, 0.5906389355659485]"
S3_Wav2Vec,LogisticRegression,60,"{0: 1, 1: 2}",7,0.6571,0.0994,0.6824,0.6491,0.65,0.63,-0.008,30.3,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[0.9994619422105266, 0.018980235871988743, 0.2618382856360852, 0.8681787807182185, 0.04698473330351558, 0.09532709663792646, 0.7324915984864454, 0.3119013348805435, 0.2563050349886887, 0.835060947985158, 0.02003789235398702, 0.8555164911758496, 0.31097368361681854, 0.7642409441867916, 0.5246472372510548, 0.5248424020871696, 0.9008206129974635, 0.9785832004851693, 0.9371814651238302, 0.247444023394887]"
S3_Wav2Vec,RandomForest,ALL,balanced,1,0.6441,0.0522,0.7059,0.7442,0.75,0.63,0.1001,130.9,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0.678, 0.317, 0.39, 0.676, 0.476, 0.438, 0.779, 0.261, 0.438, 0.92, 0.577, 0.793, 0.645, 0.574, 0.496, 0.628, 0.646, 0.879, 0.869, 0.202]"
S3_Wav2Vec,SVM,ALL,balanced,3,0.6408,0.0298,0.6699,0.697,0.7,0.67,0.0562,19.3,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[0.8879248366928784, 0.08749792049947651, 0.0006210155522122594, 0.5740720164575909, 0.003306558898936424, 0.3068599195832157, 0.8794859455363605, 0.023879535067494722, 0.13655414657989778, 0.9473588578332954, 0.31612022467048456, 0.982187066992818, 0.43858906752226423, 0.5775244166622575, 0.0003098389711043896, 0.9893089403777486, 0.46714329993425674, 0.9534346074573057, 0.8969941532402207, 0.05216635087569459]"
S3_Wav2Vec,XGBoost,70,n/a,0,0.5984,0.1347,0.6213,0.697,0.7,0.67,0.0985,8.0,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]","[0.9548246264457703, 0.06729812920093536, 0.14377491176128387, 0.9260143041610718, 0.3480066955089569, 0.11490170657634735, 0.9676269888877869, 0.03889201581478119, 0.18078461289405823, 0.979367196559906, 0.7548202872276306, 0.9731189012527466, 0.9590172171592712, 0.7548130750656128, 0.9638820886611938, 0.8384542465209961, 0.24372531473636627, 0.9601545333862305, 0.9858800768852234, 0.043820593506097794]"
S4_Fusion,LogisticRegression,30,"{0: 1, 1: 2}",6,0.6166,0.0852,0.6603,0.52,0.55,0.49,-0.0966,77.3,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]","[0.6706012120795136, 0.6625507724248509, 0.5283877598666611, 0.6502879270879545, 0.5444699076360894, 0.7385644267256204, 0.6694852813475111, 0.5710999464820815, 0.6181981588053068, 0.6630809198474912, 0.663215723778362, 0.6133612639512707, 0.6104370828944887, 0.6713004734698528, 0.48533491010112845, 0.5131267970177472, 0.6941850840832027, 0.6583070554396792, 0.700571677124903, 0.6387641269466684]"
S4_Fusion,RandomForest,50,"{0: 1, 1: 2}",2,0.6722,0.0344,0.7316,0.6875,0.7,0.55,0.0153,131.8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.766, 0.626, 0.52, 0.758, 0.634, 0.74, 0.674, 0.268, 0.64, 0.946, 0.834, 0.614, 0.366, 0.822, 0.226, 0.648, 0.94, 0.944, 0.976, 0.384]"
S4_Fusion,SVM,50,balanced,1,0.6387,0.0367,0.6956,0.5833,0.6,0.54,-0.0554,49.6,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.592270366644744, 0.1905263570477874, 0.07561903787616886, 0.8811667098294618, 0.07951037986504444, 0.6118586423949429, 0.49357043555304464, 0.014058601578593923, 0.2521035325944142, 0.9900664729052724, 0.8774649095675845, 0.23285555327522808, 0.08569576635838534, 0.5, 0.0031867776615341586, 0.37420261542770417, 0.9654510481646428, 0.892128001046974, 0.9643406834848488, 0.05221042067467898]"
S4_Fusion,XGBoost,60,n/a,1,0.6633,0.0742,0.6831,0.5396,0.55,0.43,-0.1237,34.4,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.9604169130325317, 0.6163825392723083, 0.8246804475784302, 0.8424357771873474, 0.7090527415275574, 0.9286176562309265, 0.7930532693862915, 0.5219337940216064, 0.8583323359489441, 0.9757155179977417, 0.6578547358512878, 0.5846689343452454, 0.5379408597946167, 0.98752361536026, 0.15797506272792816, 0.7964903712272644, 0.9447999000549316, 0.8682404160499573, 0.9501626491546631, 0.6712442636489868]"
S5_FusionEng,LogisticRegression,30,"{0: 1, 1: 2}",0,0.6808,0.0839,0.6963,0.6,0.6,0.54,-0.0808,245.4,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.9583103891054849, 0.37481075631748817, 0.35397788488312426, 0.9278382215728183, 0.357313714087074, 0.8464613107610168, 0.461867123064606, 0.11831218465153798, 0.5528678704589872, 0.8955199103236894, 0.687589422293523, 0.5021900340665599, 0.21765327424959707, 0.9368403972060901, 0.061917249022954195, 0.8251369627448745, 0.8811254952097429, 0.9547858001978945, 0.9612310198032081, 0.33681399696997116]"
S5_FusionEng,RandomForest,30,balanced,1,0.6623,0.0785,0.7191,0.6011,0.65,0.575,-0.0611,246.7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.733, 0.388, 0.238, 0.763, 0.309, 0.545, 0.437, 0.126, 0.59, 0.804, 0.545, 0.456, 0.268, 0.716, 0.269, 0.42, 0.906, 0.925, 0.872, 0.239]"
S5_FusionEng,SVM,50,balanced,0,0.6865,0.0414,0.7324,0.5833,0.6,0.54,-0.1032,166.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.7779575780176143, 0.0713794221226336, 0.04515686366818183, 0.867882061472925, 0.2681182516335598, 0.6852663461696284, 0.39374737034361573, 0.03980168122986212, 0.7739977795494867, 0.9185522780599022, 0.48273075533904114, 0.15153290486320012, 0.06434564514627676, 0.8182365489781753, 0.05980788997621517, 0.22705620371562438, 0.9083312979608363, 0.9158097223289604, 0.9669182757973467, 0.13945550311804886]"
S5_FusionEng,XGBoost,30,n/a,2,0.663,0.0839,0.6816,0.596,0.6,0.55,-0.067,124.5,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]","[0.908336341381073, 0.6730851531028748, 0.20891641080379486, 0.9930722117424011, 0.03263483941555023, 0.9024065732955933, 0.21702764928340912, 0.03848302364349365, 0.2713305950164795, 0.8640580177307129, 0.6013053059577942, 0.449211448431015, 0.1603344976902008, 0.9839347004890442, 0.02889692224562168, 0.7248764634132385, 0.8899252414703369, 0.9843187928199768, 0.995958149433136, 0.15122979879379272]"
S7_Wav2VecPoly,LogisticRegression,60,balanced,1,0.7413,0.1134,0.7581,0.6,0.6,0.54,-0.1413,139.7,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0]","[0.9725876542602272, 0.7117859235790626, 0.2024523488382583, 0.7509313851172889, 0.07320121469503549, 0.84380548780571, 0.8193827438765818, 0.4935064588002126, 0.5568892839031665, 0.7266610069083665, 0.8104097870337653, 0.7830934138371635, 0.5332668445522151, 0.6466721038730596, 0.1126445292081159, 0.7452586836521629, 0.7387414511198169, 0.8450172645355454, 0.7968086919184165, 0.5632873445472275]"
