scenario,model,best_K,best_cfg,cv_f1_mean,cv_f1_std,cv_acc_mean,test_f1,test_acc,test_auc,overfit_gap,time_s,y_pred,y_prob
S1_Spectrogram,RandomForest,50,"{'n_estimators': 1000, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'class_weight': 'balanced'}",0.6624,0.0707,0.7206,0.6,0.6,0.55,-0.0624,341.8,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.8471161670999483, 0.5271918316077954, 0.43262760286438234, 0.7356148029116545, 0.3912136969727038, 0.907331755306286, 0.2226465510412098, 0.3581761949438832, 0.3954891250397164, 0.8465267610062911, 0.5488562310866422, 0.38249625520562214, 0.4069912408572586, 0.7644976666104236, 0.33705586887943506, 0.7930030387462644, 0.6136277582765043, 0.8745326467474867, 0.8598420249846558, 0.414337279429235]"
S1_Spectrogram,LogisticRegression,30,"{'C': 0.3, 'class_weight': 'balanced', 'max_iter': 5000, 'solver': 'lbfgs', 'penalty': 'l2'}",0.6297,0.0202,0.6713,0.6267,0.65,0.56,-0.0031,29.9,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[0.993761748457332, 0.30510565881877133, 0.6162279350045359, 0.519900775608359, 0.02026302980736104, 0.8375534373930814, 0.16641027709812634, 0.10447415302201774, 0.2732872410163455, 0.7856189299477921, 0.9182371214013583, 0.037728920783179604, 0.25005589601844097, 0.6848075893187082, 0.026627772881116236, 0.9491997579127394, 0.39323807223216534, 0.9913295073262954, 0.9476487870709653, 0.22501551913466158]"
S1_Spectrogram,SVM,60,"{'C': 1.0, 'kernel': 'linear', 'class_weight': 'balanced'}",0.6675,0.1068,0.6846,0.6491,0.65,0.67,-0.0184,28.5,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[0.9999999182647161, 0.8238391323975048, 0.1249055098263125, 0.9186930959169542, 1.1144562095137071e-05, 0.9969360296732422, 0.2110364156714966, 0.03413288580119637, 0.04086303462324358, 0.928620695449987, 0.999989034140386, 0.008809396242767744, 0.6746324450069502, 0.9744106548269831, 0.00012453560152515572, 0.9999999185338508, 0.9318719814961466, 0.9999999845652672, 0.999987468574335, 0.8360785233078601]"
S1_Spectrogram,XGBoost,30,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'scale_pos_weight': 2.5, 'reg_alpha': 0.1}",0.6586,0.0461,0.6838,0.6491,0.65,0.51,-0.0095,20.8,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[0.9964731335639954, 0.05815815180540085, 0.512430727481842, 0.5504727959632874, 0.22292213141918182, 0.5625421404838562, 0.3407481014728546, 0.7959296107292175, 0.9479503631591797, 0.9963105320930481, 0.3906787037849426, 0.04974300041794777, 0.6954253315925598, 0.8046898245811462, 0.1813788115978241, 0.934045135974884, 0.9420314431190491, 0.8811198472976685, 0.7472164034843445, 0.8703950643539429]"
S2_MFCC,RandomForest,30,"{'n_estimators': 1000, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'class_weight': {0: 1, 1: 3}}",0.6807,0.0333,0.7316,0.6,0.6,0.56,-0.0807,399.5,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.914, 0.325, 0.472, 0.496, 0.35, 0.556, 0.611, 0.301, 0.746, 0.954, 0.575, 0.445, 0.457, 0.621, 0.299, 0.714, 0.947, 0.933, 0.915, 0.367]"
S2_MFCC,LogisticRegression,30,"{'C': 0.5, 'class_weight': 'balanced', 'max_iter': 5000, 'solver': 'lbfgs', 'penalty': 'l2'}",0.6344,0.0474,0.6581,0.6,0.6,0.58,-0.0344,37.7,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0]","[0.997790112184265, 0.15054365341461257, 0.35740890567180156, 0.39515262546265434, 0.37476631744186084, 0.49847712706563324, 0.7416939624430423, 0.1154152813049458, 0.7499835890695975, 0.8765071344484735, 0.5352925491749808, 0.45642041327462285, 0.5903108051748338, 0.23063716941295057, 0.24578498731272447, 0.861547758586202, 0.9597209545937003, 0.9977382979329781, 0.9439820630942451, 0.2956077912598855]"
S2_MFCC,SVM,30,"{'C': 1.0, 'kernel': 'rbf', 'gamma': 'scale', 'class_weight': 'balanced'}",0.6802,0.0339,0.7316,0.5604,0.6,0.52,-0.1197,37.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.8496400355701436, 0.15428738487660268, 0.5090894345467478, 0.6876389445335335, 0.2789883963238225, 0.2209011956284789, 0.6551088953079254, 0.13276339599195197, 0.634922236619619, 0.965767682814285, 0.5, 0.24268122376883178, 0.5063716967959428, 0.3681670235963078, 0.08242843630172826, 0.6686314810846796, 0.9392702929698735, 0.865641715520666, 0.8967734294495866, 0.22528698947152384]"
S2_MFCC,XGBoost,30,"{'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.1, 'subsample': 0.8, 'scale_pos_weight': 2.0, 'reg_alpha': 0.5}",0.585,0.0572,0.6699,0.6419,0.65,0.5,0.0569,27.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.9909186363220215, 0.18728649616241455, 0.8319818377494812, 0.9059966206550598, 0.21520772576332092, 0.6523730158805847, 0.8366209864616394, 0.737004816532135, 0.7398577928543091, 0.9829574227333069, 0.5924997329711914, 0.10559273511171341, 0.5742228627204895, 0.9228132963180542, 0.6670880317687988, 0.9258830547332764, 0.9431949257850647, 0.9874994158744812, 0.979749321937561, 0.5559998154640198]"
S3_Wav2Vec,RandomForest,ALL,"{'n_estimators': 3000, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'class_weight': 'balanced'}",0.6632,0.0549,0.7184,0.7442,0.75,0.63,0.081,309.6,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0.685, 0.3, 0.4003333333333333, 0.691, 0.47433333333333333, 0.44666666666666666, 0.791, 0.27466666666666667, 0.43966666666666665, 0.9216666666666666, 0.569, 0.8106666666666666, 0.6306666666666667, 0.5993333333333334, 0.517, 0.6383333333333333, 0.6496666666666666, 0.88, 0.8643333333333333, 0.21666666666666667]"
S3_Wav2Vec,LogisticRegression,70,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 5000, 'solver': 'lbfgs', 'penalty': 'l2'}",0.6891,0.0612,0.7074,0.6491,0.65,0.61,-0.04,9.2,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[0.9982060353577916, 0.0015267948993417052, 0.009931959800876876, 0.8209530133235842, 0.0008459626071734952, 0.10157748039117291, 0.9752781626066565, 0.0004551027410530556, 0.11675528284459341, 0.9965225669589647, 0.07058333340077332, 0.9983105775623824, 0.6323772985007392, 0.42836748281631765, 0.00029630662535142703, 0.9968391187842104, 0.6640192382828629, 0.997156552478416, 0.9920901426433041, 0.002965920760231895]"
S3_Wav2Vec,SVM,ALL,"{'C': 1.0, 'kernel': 'linear', 'class_weight': 'balanced'}",0.6408,0.0298,0.6699,0.697,0.7,0.67,0.0562,8.7,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[0.8879248366928784, 0.08749792049947651, 0.0006210155522122594, 0.5740720164575909, 0.003306558898936424, 0.3068599195832157, 0.8794859455363605, 0.023879535067494722, 0.13655414657989778, 0.9473588578332954, 0.31612022467048456, 0.982187066992818, 0.43858906752226423, 0.5775244166622575, 0.0003098389711043896, 0.9893089403777486, 0.46714329993425674, 0.9534346074573057, 0.8969941532402207, 0.05216635087569459]"
S3_Wav2Vec,XGBoost,ALL,"{'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.1, 'subsample': 0.8, 'scale_pos_weight': 2.0, 'reg_alpha': 0.5}",0.5377,0.1375,0.5713,0.6875,0.7,0.61,0.1498,7.5,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0.9211188554763794, 0.12990593910217285, 0.10783907771110535, 0.6389042139053345, 0.6011890769004822, 0.08434978872537613, 0.9855771660804749, 0.0270073264837265, 0.11412704735994339, 0.9792026877403259, 0.7893084287643433, 0.9813082814216614, 0.30706608295440674, 0.5148959755897522, 0.6934815049171448, 0.7365785837173462, 0.1584695726633072, 0.9385164380073547, 0.8717184066772461, 0.03274594992399216]"
S4_Fusion,RandomForest,50,"{'n_estimators': 1000, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'class_weight': 'balanced'}",0.6645,0.039,0.7199,0.6,0.6,0.53,-0.0645,591.8,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.9017854100901584, 0.5522131632971591, 0.6276002579423495, 0.7501398447020817, 0.5859866799180293, 0.6003538136441807, 0.5795533632049127, 0.2875423278015817, 0.4892769418706108, 0.9057447806119616, 0.620056034112245, 0.5989132209584448, 0.38188172884456106, 0.6731772139048657, 0.40632780333918284, 0.6545282074084254, 0.7191627762024065, 0.926354818057116, 0.8758201807484345, 0.3414187758422549]"
S4_Fusion,LogisticRegression,60,"{'C': 0.3, 'class_weight': 'balanced', 'max_iter': 5000, 'solver': 'lbfgs', 'penalty': 'l2'}",0.6207,0.0769,0.6588,0.52,0.55,0.51,-0.1007,65.5,"[1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[0.9747748962075162, 0.4569891158164604, 0.6849614278653546, 0.8768788924188207, 0.8414189058291569, 0.8141889759480094, 0.4002084901636114, 0.0586821251112533, 0.710703835424857, 0.948451715781655, 0.8269349252158267, 0.46602711616845593, 0.14568748854365599, 0.7545794350135986, 0.5997393160109499, 0.6261130095396574, 0.95375522060745, 0.9819013063159342, 0.9830230533749236, 0.1560140444885076]"
S4_Fusion,SVM,40,"{'C': 1.0, 'kernel': 'rbf', 'gamma': 'scale', 'class_weight': 'balanced'}",0.6975,0.0619,0.7441,0.6491,0.65,0.59,-0.0483,64.8,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]","[0.7346867023056819, 0.027531634004828342, 0.18734290578434998, 0.7791958189850587, 0.08814840843949338, 0.35589099443385674, 0.5644060301591424, 0.047151162422557735, 0.36754148516021606, 0.9541530724354966, 0.44773106191565626, 0.5573710628570339, 0.19650261017987203, 0.5964168593612397, 0.022182462422241943, 0.6511580257737289, 0.8798323159140038, 0.8468012574476468, 0.9401216812408221, 0.06788604778278988]"
S4_Fusion,XGBoost,40,"{'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.03, 'subsample': 0.9, 'scale_pos_weight': 2.0, 'reg_lambda': 5.0}",0.6253,0.0762,0.6566,0.6267,0.65,0.57,0.0014,45.5,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.9724413752555847, 0.37257784605026245, 0.4096583425998688, 0.5885176658630371, 0.13134445250034332, 0.7062869071960449, 0.8587344288825989, 0.11890355497598648, 0.48842382431030273, 0.7646238803863525, 0.438641220331192, 0.5267541408538818, 0.2320135086774826, 0.9708055853843689, 0.15203462541103363, 0.33982187509536743, 0.9180966019630432, 0.9288091063499451, 0.9848516583442688, 0.5620584487915039]"
S5_FusionEng,RandomForest,30,"{'n_estimators': 1000, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'class_weight': 'balanced'}",0.7005,0.0314,0.7559,0.6011,0.65,0.56,-0.0994,876.9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.776, 0.462, 0.12, 0.579, 0.35, 0.496, 0.322, 0.119, 0.448, 0.716, 0.495, 0.354, 0.273, 0.598, 0.145, 0.223, 0.84, 0.896, 0.814, 0.166]"
S5_FusionEng,LogisticRegression,30,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'solver': 'lbfgs', 'penalty': 'l2'}",0.672,0.0652,0.7081,0.6267,0.65,0.55,-0.0453,195.9,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.9658570237668211, 0.15631137387722283, 0.19683436857280848, 0.8439887581314376, 0.1798431961814873, 0.6769881469516409, 0.25462086132882894, 0.03945104679640529, 0.42397712668996723, 0.8373300738508227, 0.5282262446744695, 0.29321729787312645, 0.09843844252225309, 0.8703485918782106, 0.021757131060559615, 0.6512493637272272, 0.8826173102452017, 0.9541453755184847, 0.952560797302084, 0.13484639268864487]"
S5_FusionEng,SVM,30,"{'C': 1.0, 'kernel': 'rbf', 'gamma': 'scale', 'class_weight': 'balanced'}",0.6522,0.0931,0.6949,0.7,0.7,0.64,0.0478,186.1,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]","[0.3567357239717103, 0.3138158261615696, 0.06660965551222467, 0.9578237742753861, 0.02765689459370889, 0.912082104330638, 0.20919741238492523, 0.035258622611063134, 0.19845339650504235, 0.886471553639577, 0.7650165421052231, 0.3617079584344933, 0.05813247467158433, 0.9370540009299184, 0.09061430303105074, 0.3769804932271139, 0.8935396880097759, 0.9268699323589382, 0.9811747357214937, 0.05124814473869314]"
S5_FusionEng,XGBoost,30,"{'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.05, 'subsample': 0.8, 'scale_pos_weight': 2.0, 'reg_alpha': 0.5, 'reg_lambda': 2.0}",0.6585,0.049,0.6831,0.6,0.6,0.58,-0.0585,127.8,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.9237417578697205, 0.35911133885383606, 0.3534063994884491, 0.9325148463249207, 0.133708193898201, 0.6955804228782654, 0.3843478262424469, 0.21021373569965363, 0.7160258889198303, 0.4701181650161743, 0.6163861751556396, 0.24998551607131958, 0.30821946263313293, 0.9229907393455505, 0.33756524324417114, 0.5147438645362854, 0.9658452868461609, 0.992091178894043, 0.9916039109230042, 0.22395308315753937]"
