scenario,model,best_K,best_cfg_idx,fair_thr,cv_f1_mean,cv_f1_std,cv_acc_mean,test_f1_fair,test_f1_swept,test_f1,test_acc,test_auc,overfit_gap,time_s,y_pred,y_prob
S1_Spectrogram,LogisticRegression,30,1,0.598,0.7173,0.0695,0.7426,0.6,0.6,0.6,0.6,0.55,-0.1173,31.9,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0]","[0.9137513123096971, 0.5330712563972575, 0.822503473077251, 0.5094527847656862, 0.014081312946410388, 0.7712893199928796, 0.11161699645651957, 0.2519078046152455, 0.2418618673419269, 0.8341540087925374, 0.4630160975834879, 0.2186013566159184, 0.7725143621144241, 0.6279591640520685, 0.01478437273913108, 0.9270026875759007, 0.6743307966100508, 0.8271649875626684, 0.6301041310782602, 0.519232814849478]"
S1_Spectrogram,RandomForest,30,0,0.708,0.6873,0.1343,0.7419,0.3732,0.5396,0.3732,0.45,0.46,-0.3141,323.5,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.7826, 0.4044, 0.5858000000000001, 0.5716, 0.2742, 0.5772, 0.2346, 0.672, 0.46959999999999996, 0.7754000000000001, 0.3014, 0.1172, 0.4936, 0.5182, 0.3854, 0.7135999999999999, 0.7070000000000001, 0.6568, 0.5082, 0.631]"
S1_Spectrogram,SVM,30,4,0.724,0.6322,0.051,0.6824,0.4373,0.6875,0.4373,0.45,0.55,-0.1949,26.4,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[0.9498356429441517, 0.37443544245967303, 0.7786975699852401, 0.44574247973419945, 0.5031262936817901, 0.7384585447772868, 0.1255283149568427, 0.6450594591027642, 0.4966205395907517, 0.8701116962603285, 0.6029373408979743, 0.2415883978906114, 0.5331127403515715, 0.6193482292686866, 0.688400862303931, 0.86348613925015, 0.5243120088450646, 0.8619114740518228, 0.7612707673591793, 0.6069715586045497]"
S1_Spectrogram,XGBoost,30,2,0.588,0.6515,0.0611,0.6706,0.596,0.6491,0.596,0.6,0.52,-0.0556,25.2,"[1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[0.9607325792312622, 0.4280387759208679, 0.7257250547409058, 0.8822375535964966, 0.5283957123756409, 0.5038679838180542, 0.28939497470855713, 0.596941351890564, 0.4905425012111664, 0.907376766204834, 0.34731000661849976, 0.18236425518989563, 0.6980435252189636, 0.6643238067626953, 0.48640552163124084, 0.851359486579895, 0.9049102663993835, 0.9211704134941101, 0.6946079134941101, 0.833845317363739]"
S2_MFCC,LogisticRegression,30,1,0.758,0.6851,0.0526,0.7449,0.5833,0.6491,0.5833,0.6,0.54,-0.1017,40.5,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1]","[0.9029798852671217, 0.40862998613297313, 0.3211018883673312, 0.7341337583392319, 0.16607156941896672, 0.4536321457759052, 0.4288828035657737, 0.624743360613835, 0.38879507938063596, 0.8721052378285513, 0.2350497252067676, 0.3348190677203446, 0.829442102054269, 0.5922552350793018, 0.256971648759983, 0.5773317783713472, 0.8277697874437523, 0.8572844236294139, 0.5392104588698196, 0.816208744228749]"
S2_MFCC,RandomForest,30,2,0.734,0.6907,0.0431,0.7441,0.52,0.6491,0.52,0.55,0.56,-0.1707,333.3,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.9019999999999999, 0.2746, 0.524, 0.6083999999999999, 0.217, 0.4824, 0.28880000000000006, 0.5192, 0.3446, 0.9282, 0.19039999999999999, 0.1806, 0.6369999999999999, 0.5811999999999999, 0.29359999999999997, 0.47140000000000004, 0.9094, 0.9212, 0.7394000000000001, 0.6245999999999999]"
S2_MFCC,SVM,30,1,0.63,0.6844,0.0204,0.7441,0.4048,0.52,0.4048,0.5,0.41,-0.2796,34.3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.6276624278376339, 0.2363234513811343, 0.17911121480322273, 0.40510358723986367, 0.06009740530572547, 0.17961733786602543, 0.3765821796271699, 0.4510081738178472, 0.4524889233462763, 0.8890119681729981, 0.17588055542950837, 0.04343680340358759, 0.3023420782497632, 0.19569685568429657, 0.022167956676878292, 0.3481252754242387, 0.8240502153086794, 0.6146456146657522, 0.6240300119728197, 0.30040292048605927]"
S2_MFCC,XGBoost,30,3,0.782,0.6604,0.0218,0.7191,0.4949,0.6,0.4949,0.5,0.52,-0.1654,29.6,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[0.9392873644828796, 0.2382979393005371, 0.6542103886604309, 0.8973959684371948, 0.22399406135082245, 0.7060672044754028, 0.45027121901512146, 0.859653651714325, 0.36974647641181946, 0.9016252756118774, 0.1714005172252655, 0.13566279411315918, 0.7700331807136536, 0.8744689226150513, 0.3744000494480133, 0.6693717241287231, 0.9213225245475769, 0.9687367677688599, 0.7269222140312195, 0.8494652509689331]"
S3_Wav2Vec,LogisticRegression,70,6,0.506,0.635,0.0712,0.6471,0.5489,0.6267,0.5489,0.55,0.61,-0.0861,13.9,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]","[0.780811359541773, 0.3848787008024649, 0.3606031229194728, 0.48809067729504313, 0.5064521760196776, 0.41686418311831475, 0.6223829307363274, 0.2775945785495319, 0.443740492783829, 0.5864537355013938, 0.4233648656048955, 0.5133617440277953, 0.4233227317965758, 0.4799774664388693, 0.8035780638455551, 0.4924507407004398, 0.5322608885939937, 0.603748775456876, 0.6484504059199417, 0.29525227324087155]"
S3_Wav2Vec,RandomForest,70,2,0.778,0.6263,0.0856,0.6949,0.5396,0.6491,0.5396,0.55,0.59,-0.0866,317.3,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0]","[0.8804000000000001, 0.38180000000000003, 0.5494, 0.7172, 0.5622, 0.4166, 0.818, 0.2806, 0.5468, 0.9481999999999999, 0.4795999999999999, 0.7942, 0.6086, 0.5548, 0.8022, 0.6596, 0.7293999999999999, 0.916, 0.9321999999999999, 0.27680000000000005]"
