scenario,model,best_K,best_cfg_idx,fair_thr,swept_thr,cv_f1_mean,cv_f1_std,test_f1_fair,test_f1,test_acc,test_auc,overfit_gap,time_s,y_pred,y_prob
S1_Spectrogram,LogisticRegression,50,8,0.484,0.45,0.6907,0.151,0.6491,0.6491,0.65,0.63,-0.0416,93.6,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[0.7702801206088189, 0.4006363350699598, 0.4777580450398982, 0.4488179707418977, 0.24754404453418727, 0.61445542718016, 0.321617199950502, 0.6339757837120458, 0.30818486508982623, 0.36278463008303236, 0.5205837901714939, 0.12654717838850707, 0.3469009009202121, 0.5472915954329578, 0.3647451143704496, 0.8061910304430386, 0.4538830222629381, 0.82265611012207, 0.6912041706199696, 0.5961707321629753]"
S1_Spectrogram,RandomForest,30,3,0.433,0.54,0.7788,0.1146,0.4373,0.4872,0.55,0.39,-0.2916,315.8,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","[0.488, 0.168, 0.384, 0.42, 0.142, 0.544, 0.316, 0.47, 0.272, 0.536, 0.084, 0.104, 0.36, 0.542, 0.18, 0.556, 0.246, 0.314, 0.24, 0.482]"
S1_Spectrogram,SVM,30,10,0.358,0.37,0.5712,0.1531,0.375,0.5489,0.55,0.54,-0.0224,76.2,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1]","[0.41135959826138535, 0.3623561173715265, 0.37028274165788266, 0.35889034599081376, 0.33981707049869175, 0.37086896002410286, 0.3375323235787767, 0.3741654887698202, 0.3602443019233408, 0.3652804447798811, 0.3673806273273886, 0.34146713139875967, 0.30461062750537, 0.3728038043438924, 0.2781554180005169, 0.37901089373209085, 0.34013114839683173, 0.3892952955834161, 0.378229846005704, 0.38352036513532]"
S1_Spectrogram,XGBoost,60,2,0.46,0.62,0.7882,0.1396,0.335,0.4505,0.5,0.33,-0.3376,71.0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","[0.8275991678237915, 0.0632198229432106, 0.13349440693855286, 0.4292960464954376, 0.1733510047197342, 0.8724265098571777, 0.3824957311153412, 0.6180381178855896, 0.510766327381134, 0.5991262793540955, 0.03553890809416771, 0.011224580928683281, 0.4324710965156555, 0.774336576461792, 0.11153222620487213, 0.9558243751525879, 0.26915714144706726, 0.11456624418497086, 0.07250717282295227, 0.4240545332431793]"
S2_MFCC,LogisticRegression,60,2,0.455,0.47,0.7051,0.1211,0.4133,0.5396,0.55,0.49,-0.1655,120.2,"[1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1]","[0.8456730995098102, 0.7345818463596435, 0.0537479282980575, 0.7522908552179228, 0.40481987000374436, 0.4605705587659369, 0.8047809817020414, 0.751878362758668, 0.8111436663002631, 0.46414857008093025, 0.31224416836883784, 0.1528996333311619, 0.850391017750535, 0.2194775496414806, 0.5965814354913288, 0.6657739909088957, 0.8657944443120078, 0.7468756843651211, 0.819656536121107, 0.7306985854904693]"
S2_MFCC,RandomForest,30,1,0.374,0.25,0.7847,0.0964,0.596,0.6491,0.65,0.54,-0.1356,293.9,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1]","[0.588, 0.227, 0.463, 0.244, 0.156, 0.246, 0.147, 0.451, 0.231, 0.369, 0.099, 0.138, 0.391, 0.373, 0.255, 0.196, 0.582, 0.444, 0.486, 0.404]"
S2_MFCC,SVM,80,3,0.341,0.45,0.5857,0.1386,0.3732,0.5238,0.6,0.47,-0.0619,88.2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0.35648702119107784, 0.3976480660519592, 0.44781242608824284, 0.4356319361523951, 0.3576214296799939, 0.3208759797838698, 0.3418981009487051, 0.4151856305237365, 0.42645648424962707, 0.42696505056529227, 0.33697606972235844, 0.319204242356652, 0.48233878023708576, 0.3437063835691952, 0.34801455086684635, 0.429757604707161, 0.5367954229357176, 0.4294676066399077, 0.3683814716511402, 0.35595195454741635]"
S2_MFCC,XGBoost,50,0,0.432,0.47,0.7346,0.1779,0.5,0.596,0.6,0.51,-0.1386,74.9,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1]","[0.8210143446922302, 0.7664809823036194, 0.45600610971450806, 0.33022764325141907, 0.16045677661895752, 0.4162977635860443, 0.08908764272928238, 0.5955726504325867, 0.130376935005188, 0.46773773431777954, 0.22486566007137299, 0.06391436606645584, 0.8030457496643066, 0.563044011592865, 0.3341255486011505, 0.07737454771995544, 0.8203693628311157, 0.2979923188686371, 0.7301428318023682, 0.6189758777618408]"
S3_Wav2Vec,LogisticRegression,ALL,0,0.489,0.4,0.6861,0.1598,0.5,0.596,0.6,0.56,-0.0902,31.4,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[0.7780547532940915, 0.5331411579889072, 0.3153571943370982, 0.5178988237050224, 0.024038421626147256, 0.22394652514447655, 0.3306005780786998, 0.4916212463192849, 0.3987301986470937, 0.5357520888866495, 0.3089396882516111, 0.3808946781243974, 0.5246729917291288, 0.48003541348903517, 0.023149916329389262, 0.4231346952728288, 0.6297708934452186, 0.5777472600663315, 0.5559576346493916, 0.5098361874039936]"
S3_Wav2Vec,RandomForest,50,3,0.369,0.2,0.6767,0.1065,0.4486,0.5238,0.6,0.46,-0.1529,244.9,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.398, 0.384, 0.356, 0.606, 0.162, 0.344, 0.19, 0.4, 0.28, 0.69, 0.2, 0.318, 0.54, 0.302, 0.206, 0.242, 0.634, 0.334, 0.59, 0.394]"
