scenario,model,best_n,best_cfg_idx,fair_thr,swept_thr,cv_f1_mean,cv_f1_std,test_f1_fair,test_f1_sw,test_acc_fair,test_auc,overfit_gap,time_s,y_pred_fair,y_pred_sw,y_prob
S1_Spectrogram,LogisticRegression,10,9,0.496,0.47,0.6017,0.1566,0.5489,0.6491,0.55,0.61,-0.0528,33.1,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1]","[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[0.5003180749590967, 0.4319355629897972, 0.5475637631861465, 0.5264117341945318, 0.2732940200588104, 0.46981781311751175, 0.3951060516846282, 0.37908566775875296, 0.4138534809292816, 0.5073489009933818, 0.42861927919472964, 0.44894754169522116, 0.5560628322563071, 0.4758858443971596, 0.16895535463098932, 0.501704386047693, 0.49482071280801443, 0.5343058629615888, 0.504776085726114, 0.5035716545962239]"
S1_Spectrogram,SVM,10,3,0.363,0.05,0.6728,0.1238,0.3333,0.3333,0.5,0.52,-0.3395,27.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.35981480100239005, 0.3527435224312505, 0.35594670138149725, 0.35717138940002247, 0.3560068902621052, 0.3567984262511439, 0.3527921736253128, 0.35540144923503864, 0.35207978793994943, 0.3557305986576667, 0.35764253847432326, 0.35412440392943045, 0.3545652954219098, 0.35734039820775726, 0.3580544878100538, 0.3532559668243646, 0.3556250587701047, 0.3559182926963257, 0.3564837499178435, 0.3513855277633069]"
S1_Spectrogram,RandomForest,10,5,0.405,0.26,0.6877,0.1533,0.3067,0.4505,0.35,0.37,-0.3811,79.0,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]","[0.4236574382302817, 0.3751987122589825, 0.49384598487940856, 0.46607707040974516, 0.3614346022006146, 0.46561896797615404, 0.16434778638894315, 0.25075677975835314, 0.32182397581754235, 0.30730320655217086, 0.529519253454855, 0.2918332593508164, 0.3954138311294976, 0.29344847629411946, 0.33949053939410057, 0.32965171104872326, 0.28572085053893087, 0.23394618750234847, 0.37250695356617314, 0.1753799677235824]"
S1_Spectrogram,XGBoost,10,1,0.446,0.54,0.6579,0.1657,0.1479,0.4048,0.15,0.21,-0.51,26.8,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3887884318828583, 0.4867723286151886, 0.6950820088386536, 0.49924737215042114, 0.4512757658958435, 0.47584739327430725, 0.177751824259758, 0.4527610242366791, 0.5152961611747742, 0.53193199634552, 0.6992868781089783, 0.34482231736183167, 0.41471222043037415, 0.1693989336490631, 0.4071728587150574, 0.40611565113067627, 0.37028899788856506, 0.17714612185955048, 0.4263894259929657, 0.28805506229400635]"
S2_MFCC,LogisticRegression,15,5,0.536,0.51,0.6207,0.1885,0.5833,0.6,0.6,0.51,-0.0374,32.8,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]","[0.5317522261384003, 0.3036598247077284, 0.5089032372492712, 0.5795710512162965, 0.3626812394371159, 0.4324128792077428, 0.5005554828190687, 0.6331195088857026, 0.4351208458821576, 0.5231008114779602, 0.2956784306217078, 0.34999312689016965, 0.5538558183793265, 0.5219908625902171, 0.2720744059456972, 0.4218703511852577, 0.6643455316030585, 0.5199061419310705, 0.5539061567962682, 0.7696237515231176]"
S2_MFCC,SVM,10,5,0.349,0.29,0.7448,0.0881,0.596,0.6491,0.6,0.71,-0.1489,27.0,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[0.38678462301834865, 0.27526339330248734, 0.2873076091613687, 0.38051641698102107, 0.2280092577599235, 0.2531696572863182, 0.2642515233184658, 0.2523815540821487, 0.30416214540966735, 0.47283903432077645, 0.26878506986739137, 0.2556191855137852, 0.3947679800521548, 0.2935945405301508, 0.28152764631336563, 0.3164609763761288, 0.561586656903067, 0.47538710757954517, 0.485557167416906, 0.3687505857132191]"
S2_MFCC,RandomForest,10,0,0.433,0.44,0.6758,0.1274,0.697,0.6875,0.7,0.69,0.0212,76.6,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[0.3385935222978809, 0.4300488907305132, 0.27974691932567736, 0.4619701253997789, 0.2870594150617905, 0.35588044215643044, 0.43728091958156873, 0.418991052730983, 0.3804028730755956, 0.4310709314752776, 0.44480006410724476, 0.41069422855859833, 0.48126569984581274, 0.433269716542665, 0.19580794992547212, 0.34868840793034367, 0.7710156486710197, 0.4108314284841056, 0.4538051784553723, 0.6150726746114521]"
S2_MFCC,XGBoost,10,6,0.504,0.39,0.678,0.1415,0.6703,0.7494,0.7,0.74,-0.0077,25.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1]","[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]","[0.36441749334335327, 0.43171432614326477, 0.3387661278247833, 0.44551247358322144, 0.3018428087234497, 0.38717174530029297, 0.45822781324386597, 0.3836190402507782, 0.3470771014690399, 0.3889244794845581, 0.43855664134025574, 0.48103511333465576, 0.5217421650886536, 0.5298617482185364, 0.22813421487808228, 0.4228942394256592, 0.7644522786140442, 0.26133987307548523, 0.45533713698387146, 0.6549311280250549]"
S3_Wav2Vec,LogisticRegression,30,3,0.44,0.39,0.6835,0.1406,0.7442,0.7917,0.75,0.75,0.0608,30.4,"[1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.8168508102382066, 0.5960792168215197, 0.1930277414914744, 0.458151668192021, 0.15747767943021582, 0.2641169337581203, 0.20669537599945034, 0.3597732624971992, 0.6064641126521761, 0.3873371446848804, 0.49883561669255894, 0.44083492092600957, 0.4969727658985149, 0.47066895336603565, 0.816638308049424, 0.7137143141406462, 0.6352417836567958, 0.4232021266618273, 0.5281223982230242, 0.606145723002003]"
S3_Wav2Vec,SVM,30,6,0.343,0.35,0.6087,0.1032,0.6875,0.798,0.7,0.74,0.0788,24.1,"[1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[0.4795108225081029, 0.3888638299695535, 0.24769174290949297, 0.3493550973515006, 0.2543322829538353, 0.29695972214718086, 0.28707838425117194, 0.3144156472492906, 0.3940880625398915, 0.3463917851522724, 0.35838697827014265, 0.36416371998153435, 0.36303640779699414, 0.35491881294786487, 0.39429244094218724, 0.4082147171533153, 0.4012265144727635, 0.34256522899176595, 0.38729292129014586, 0.3725547483569999]"
