model,best_n,best_cfg_idx,cv_f1_mean,cv_f1_std,oof_thr,oof_f1_train,test_f1_oof,test_f1_sw,test_acc_oof,test_auc,overfit_gap,y_pred_oof,y_pred_sw,y_prob,oof_probs,scenario,time_s
LogisticRegression,10,9,0.6017,0.1566,0.51,0.5306,0.4505,0.6491,0.5,0.61,-0.1512,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[0.5003180749590967, 0.4319355629897972, 0.5475637631861465, 0.5264117341945318, 0.2732940200588104, 0.46981781311751175, 0.3951060516846282, 0.37908566775875296, 0.4138534809292816, 0.5073489009933818, 0.42861927919472964, 0.44894754169522116, 0.5560628322563071, 0.4758858443971596, 0.16895535463098932, 0.501704386047693, 0.49482071280801443, 0.5343058629615888, 0.504776085726114, 0.5035716545962239]","[0.4917821986799506, 0.28324536381600124, 0.49501641537854046, 0.6136270252647934, 0.26106114764793065, 0.5585883803386786, 0.3988240861698123, 0.5505158131819866, 0.47690112427059345, 0.550486939692134, 0.5001226058072346, 0.4547833552780066, 0.4986218215841668, 0.4328872607838802, 0.6099971394774029, 0.5484315874323337, 0.4112023624653168, 0.48763692219229615, 0.4832526307224908, 0.505351820311655, 0.5672955721947509, 0.48118638872078334, 0.41080014407087434, 0.4315036202449179, 0.4708015406481363, 0.4789713749377403, 0.5318472034255869, 0.4500479497636035, 0.42848660633999996, 0.43729385777891744, 0.47434974630586646, 0.5393609749181442, 0.45997166470327466, 0.4217479871700924, 0.5155551136087121, 0.4945765589260821, 0.44407576496083023, 0.5399606708921881, 0.45379895254584524, 0.4969386367748746, 0.5959633238617937, 0.49381977409856886, 0.31227640957197794, 0.46326435971165353, 0.5259041695965242, 0.5017951593270409, 0.4042758002870573, 0.5137938914414528, 0.4881963699162945, 0.3982734154049162, 0.5026903037226784, 0.4302372214691817, 0.4422022165438792, 0.6367418972275566, 0.42396860229283245, 0.4393415673930673, 0.5168757607208898, 0.49319265497736364, 0.46669367844522824, 0.5776036591692251, 0.5057976148033734, 0.590123304704462, 0.42883417313309896, 0.4138118600517885, 0.4167253281160822, 0.492433903240532, 0.4737090829786436, 0.5433404730961369, 0.5849984806081812, 0.45072494109348427, 0.5237988199279842, 0.32846157784406976, 0.43392110608564644, 0.5366922379331367, 0.567169120678941, 0.43600901711014306, 0.5454229298743644, 0.4488845704268121, 0.5886414551547678, 0.4546522413242309, 0.48275242640823385, 0.48319282696785637]",S1_Spectrogram,33.3
SVM,10,3,0.6728,0.1238,0.38,0.576,0.3333,0.3333,0.5,0.52,-0.3395,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.35981480100239005, 0.3527435224312505, 0.35594670138149725, 0.35717138940002247, 0.3560068902621052, 0.3567984262511439, 0.3527921736253128, 0.35540144923503864, 0.35207978793994943, 0.3557305986576667, 0.35764253847432326, 0.35412440392943045, 0.3545652954219098, 0.35734039820775726, 0.3580544878100538, 0.3532559668243646, 0.3556250587701047, 0.3559182926963257, 0.3564837499178435, 0.3513855277633069]","[0.2890850770120056, 0.39847813985652264, 0.34663619485436464, 0.3777188578215379, 0.37602823438371724, 0.3622469327499791, 0.37500696521769744, 0.36556899124168485, 0.2454683015888608, 0.3520364794790931, 0.39118790759344785, 0.35661265474908865, 0.4936625700483205, 0.38195572385238163, 0.390899511151773, 0.38504429862986395, 0.36516828250364897, 0.39560328850260196, 0.2673569697374558, 0.3532205104077663, 0.3610162643444427, 0.38353491364567416, 0.33348127656269, 0.3933556741435812, 0.36338520853879447, 0.38181745386042876, 0.3938090359049105, 0.3582088962037702, 0.34192523524620105, 0.21383810997930158, 0.35457090215990283, 0.3665470609787391, 0.25649105176620024, 0.36867780440275455, 0.6460860594204294, 0.46622174174080216, 0.3423861220604946, 0.4941224047791762, 0.26674411050319846, 0.3626605929045997, 0.3990596756039076, 0.3836899444193611, 0.26289046643876557, 0.34335824585245067, 0.3372718230341049, 0.31413163556335816, 0.29786540468921996, 0.3558276747356425, 0.33207790820286687, 0.251633976192489, 0.29263700330432746, 0.29453178567653077, 0.4194463690046865, 0.432353850405322, 0.29683558571849966, 0.35641260645541334, 0.3592392192392355, 0.3087190837861398, 0.34376290279554883, 0.4328740285280509, 0.38577951067264404, 0.4226394179278407, 0.302723528476849, 0.2252737767960067, 0.27938092331393527, 0.38151096854992284, 0.3565628244511589, 0.5400694999537256, 0.3047284992452819, 0.2637564010429698, 0.3509024160236936, 0.3532414363491056, 0.36662433214394974, 0.45672946931244934, 0.5256185272014905, 0.36404663371121704, 0.2393750957538592, 0.3534092434828749, 0.18537785177611596, 0.3123043193700712, 0.3987802791276926, 0.34641610174237697]",S1_Spectrogram,26.4
RandomForest,10,5,0.6877,0.1533,0.44,0.6101,0.3407,0.4505,0.4,0.37,-0.3471,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]","[0.4236574382302817, 0.3751987122589825, 0.49384598487940856, 0.46607707040974516, 0.3614346022006146, 0.46561896797615404, 0.16434778638894315, 0.25075677975835314, 0.32182397581754235, 0.30730320655217086, 0.529519253454855, 0.2918332593508164, 0.3954138311294976, 0.29344847629411946, 0.33949053939410057, 0.32965171104872326, 0.28572085053893087, 0.23394618750234847, 0.37250695356617314, 0.1753799677235824]","[0.1947416630312738, 0.445005662551682, 0.31101576505646206, 0.5699054058650855, 0.35425760251636534, 0.38616440345324266, 0.4403077658066515, 0.4103393601509345, 0.2621570202376162, 0.3557706116866956, 0.4367583968442814, 0.3256104964688325, 0.5385866692085167, 0.454557689447496, 0.47666907706550743, 0.45348811915913445, 0.36907022925737676, 0.38515954417023157, 0.3766191322420219, 0.2905355300915789, 0.5346540454945811, 0.49072186779913723, 0.2538562605353286, 0.45112856901826554, 0.451535745996115, 0.5031145190838364, 0.43212337500227493, 0.18882297026183284, 0.3809549351491181, 0.18059948764975098, 0.3198007267616086, 0.43669994429985637, 0.2380747988467895, 0.34021573102015423, 0.5989997032220721, 0.5482136603149662, 0.3818962635507809, 0.4983562562287156, 0.23619534554889882, 0.5358628738966983, 0.5305477081711109, 0.3034998385057024, 0.2940269946007556, 0.4731200871540198, 0.41203385957003574, 0.40827757906709167, 0.31691388602942133, 0.5084387372715845, 0.2178581147049856, 0.16725718628226957, 0.359444132331122, 0.17626839777354333, 0.2891485919370684, 0.6271744902863673, 0.31441613262344636, 0.3891922327611765, 0.40607125262230165, 0.4390727151042217, 0.2926347387486268, 0.44235216404463673, 0.6081355669077348, 0.6035165701065969, 0.15148444618185297, 0.0898688296829029, 0.34255781930826523, 0.4330200268289618, 0.23326242690770138, 0.5094516223881249, 0.4937464284717626, 0.23271016054186366, 0.4928684702871916, 0.34623703624880475, 0.3812956125257327, 0.3837357981844231, 0.5492426297395955, 0.3872069314071628, 0.4208332605115026, 0.2566839085093198, 0.4497901212678521, 0.21470632495403666, 0.3179251511433675, 0.35424555725024764]",S1_Spectrogram,86.0
XGBoost,10,1,0.6579,0.1657,0.4,0.5514,0.335,0.4048,0.35,0.21,-0.3228,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3887884318828583, 0.4867723286151886, 0.6950820088386536, 0.49924737215042114, 0.4512757658958435, 0.47584739327430725, 0.177751824259758, 0.4527610242366791, 0.5152961611747742, 0.53193199634552, 0.6992868781089783, 0.34482231736183167, 0.41471222043037415, 0.1693989336490631, 0.4071728587150574, 0.40611565113067627, 0.37028899788856506, 0.17714612185955048, 0.4263894259929657, 0.28805506229400635]","[0.2564604580402374, 0.40241971611976624, 0.2546273171901703, 0.6530411243438721, 0.3498794436454773, 0.6089996099472046, 0.29084014892578125, 0.49068641662597656, 0.17045928537845612, 0.37208041548728943, 0.33083575963974, 0.5344708561897278, 0.6557497382164001, 0.5117562413215637, 0.30002743005752563, 0.6286543607711792, 0.3477229177951813, 0.25021451711654663, 0.33557525277137756, 0.3484814763069153, 0.5957283973693848, 0.6724368333816528, 0.3186662495136261, 0.5186439156532288, 0.6635463237762451, 0.565657377243042, 0.5645569562911987, 0.3056463301181793, 0.42341136932373047, 0.22016143798828125, 0.296415239572525, 0.4692496955394745, 0.2616376280784607, 0.4859868884086609, 0.6670414805412292, 0.5548838973045349, 0.4091845750808716, 0.5601515173912048, 0.18681761622428894, 0.6450538635253906, 0.49946919083595276, 0.40186697244644165, 0.36195650696754456, 0.4988360106945038, 0.6348650455474854, 0.544761061668396, 0.4029514491558075, 0.7234570980072021, 0.2517542243003845, 0.1841164082288742, 0.243507519364357, 0.17952300608158112, 0.2853091359138489, 0.7774838209152222, 0.22457058727741241, 0.2142735719680786, 0.6089344024658203, 0.5187540650367737, 0.2666597068309784, 0.3825221359729767, 0.6701585650444031, 0.7207894325256348, 0.1558072417974472, 0.18754100799560547, 0.47384965419769287, 0.3898719251155853, 0.34536632895469666, 0.7153332233428955, 0.5899139642715454, 0.28768861293792725, 0.3534557521343231, 0.16756176948547363, 0.39712387323379517, 0.6388579607009888, 0.7660191059112549, 0.35810768604278564, 0.3219486474990845, 0.3936766982078552, 0.43704143166542053, 0.21673628687858582, 0.16358976066112518, 0.4136703610420227]",S1_Spectrogram,28.2
LogisticRegression,15,5,0.6207,0.1885,0.56,0.539,0.4505,0.6,0.5,0.51,-0.1701,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]","[0.5317522261384003, 0.3036598247077284, 0.5089032372492712, 0.5795710512162965, 0.3626812394371159, 0.4324128792077428, 0.5005554828190687, 0.6331195088857026, 0.4351208458821576, 0.5231008114779602, 0.2956784306217078, 0.34999312689016965, 0.5538558183793265, 0.5219908625902171, 0.2720744059456972, 0.4218703511852577, 0.6643455316030585, 0.5199061419310705, 0.5539061567962682, 0.7696237515231176]","[0.4396398422769633, 0.29182854080278514, 0.5862263994067111, 0.625993522307649, 0.5006706712386413, 0.447219121237699, 0.4715624645373747, 0.4686692737261921, 0.527807300484994, 0.7955113401900783, 0.723785509675428, 0.22619976538614023, 0.627758682160597, 0.6728618910334383, 0.664235483360159, 0.6994499423090015, 0.3292893057282345, 0.5505248014672544, 0.19195990489832082, 0.841568686762245, 0.592850888788104, 0.5564245304146355, 0.3891924548788234, 0.17673502026434118, 0.5095176276482004, 0.6029436884710345, 0.5726854608111311, 0.718364562777585, 0.734871039101497, 0.2065245772537928, 0.3618523415548726, 0.6054824892762645, 0.03859080747583111, 0.4934279768087531, 0.8252706100643722, 0.5279325073699904, 0.21163367184339002, 0.4691474259112752, 0.46905661922540604, 0.6044887337424133, 0.8339436097465082, 0.5677107861122441, 0.3573135812548866, 0.281174918165912, 0.5046549448166328, 0.6650135596807296, 0.41305205908511594, 0.7053389534259816, 0.4820899861154335, 0.48239261381523596, 0.5876872755012607, 0.403093676408283, 0.5204401387723964, 0.8748326417051911, 0.4621941313458526, 0.2893127278512322, 0.4258740606706069, 0.4252366806529185, 0.5199544449750036, 0.5838368196782612, 0.37736703411878025, 0.5413624940012149, 0.4281194680907289, 0.25738404509138985, 0.3470606358580739, 0.4235900470433335, 0.3043213371369562, 0.08178090591941571, 0.5659873749275415, 0.3260762253535182, 0.5339548120571189, 0.25731898805958764, 0.27664570510387326, 0.548155868465262, 0.5686189828795815, 0.2582646714814273, 0.47673226566755667, 0.29849304769824464, 0.4115217660818295, 0.3978526688736482, 0.6525970523634611, 0.33291284282105826]",S2_MFCC,33.3
SVM,10,5,0.7448,0.0881,0.36,0.6369,0.596,0.6491,0.6,0.71,-0.1489,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[0.38678462301834865, 0.27526339330248734, 0.2873076091613687, 0.38051641698102107, 0.2280092577599235, 0.2531696572863182, 0.2642515233184658, 0.2523815540821487, 0.30416214540966735, 0.47283903432077645, 0.26878506986739137, 0.2556191855137852, 0.3947679800521548, 0.2935945405301508, 0.28152764631336563, 0.3164609763761288, 0.561586656903067, 0.47538710757954517, 0.485557167416906, 0.3687505857132191]","[0.3095880016515879, 0.12504773101063457, 0.27618377663155014, 0.3410185922627652, 0.24480527420402381, 0.3393128791925251, 0.3434051020997299, 0.33139603458647526, 0.34283758933749886, 0.3149862861985492, 0.5488407060160091, 0.3698528168616108, 0.2841954158940883, 0.36588418933107225, 0.3780150758811327, 0.3708192164624562, 0.29086453806473184, 0.3996129541575742, 0.35383514781545855, 0.34204508715155985, 0.36743159425908467, 0.2623031583130549, 0.25791203246044914, 0.3232618593989104, 0.34044945953211986, 0.3316405805204125, 0.6472910741236069, 0.32960178902444, 0.5573396688742909, 0.23035371011110795, 0.36751969408914426, 0.47971133317714076, 0.4162187138282954, 0.16166125811633372, 0.5317502449336149, 0.5248435198116538, 0.3645463712074574, 0.4912275533464631, 0.3413777783096525, 0.4067434763904369, 0.36796507300997566, 0.36840610267692725, 0.22819658110552515, 0.2568802906021653, 0.251798322853006, 0.3771342637031043, 0.2292458775367687, 0.30705795524497076, 0.29629109605218806, 0.2636168416434296, 0.3056338054474087, 0.2869622935053121, 0.3884923479686621, 0.5608867371004129, 0.23399021699351744, 0.2715875610558636, 0.37280388467670406, 0.22781754130147838, 0.2956618071880694, 0.4646046233824094, 0.428121709756222, 0.6920572234370553, 0.34318793966991407, 0.23614179131823493, 0.2510334347969138, 0.34543616024656715, 0.271302201576134, 0.2865421336302262, 0.5987182792750525, 0.23867453862141527, 0.3759125859221743, 0.25713600212647747, 0.3054006977956075, 0.3813867353250581, 0.5203377598930151, 0.2565489859450659, 0.4646191583225714, 0.2725996821552462, 0.377541962290828, 0.3314089559859714, 0.4267396404810185, 0.2109501550628424]",S2_MFCC,29.0
RandomForest,10,0,0.6758,0.1274,0.49,0.6158,0.5238,0.6875,0.6,0.69,-0.152,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[0.3385935222978809, 0.4300488907305132, 0.27974691932567736, 0.4619701253997789, 0.2870594150617905, 0.35588044215643044, 0.43728091958156873, 0.418991052730983, 0.3804028730755956, 0.4310709314752776, 0.44480006410724476, 0.41069422855859833, 0.48126569984581274, 0.433269716542665, 0.19580794992547212, 0.34868840793034367, 0.7710156486710197, 0.4108314284841056, 0.4538051784553723, 0.6150726746114521]","[0.47601053099942026, 0.20102306086824612, 0.35806921970411504, 0.35012394308187433, 0.2556596615074819, 0.1696192349494878, 0.31556112187841245, 0.48042801988027944, 0.4763925424946694, 0.6001325065623493, 0.6613316461674366, 0.33555166193999253, 0.4217029522295933, 0.3957650534295237, 0.5793088912427666, 0.5170727825170176, 0.38930768559416956, 0.37776727312079467, 0.38365315903592084, 0.4381152482821019, 0.43298266276539765, 0.4944114809938902, 0.48819682138308634, 0.2983344492409055, 0.36251654240553693, 0.5410112975385911, 0.7055235198255422, 0.47479512183881767, 0.49299628590745004, 0.321461681823533, 0.2727654374833645, 0.5730359129080547, 0.33300129836988984, 0.313668512834948, 0.4700409461864373, 0.6301867273914905, 0.29350099904990545, 0.5525803170169609, 0.42057322397215935, 0.5974730669294867, 0.5413463565156652, 0.47153048985150536, 0.3211596940580813, 0.2635083708119305, 0.26960119975137947, 0.6316827526350224, 0.421005585042112, 0.25731678028203364, 0.4180291924682974, 0.3737481452074658, 0.4688620433702252, 0.42091435424112966, 0.40696390573571706, 0.4860855713386584, 0.3898516966664992, 0.3995540081924585, 0.3820503296866854, 0.514747775685141, 0.4722044272677904, 0.46959073023459924, 0.511259496569501, 0.698520277340687, 0.4725101822995854, 0.26962003145540403, 0.39440108803671514, 0.5128612996665569, 0.3571021899255175, 0.3448394795780006, 0.6622554169551509, 0.33735826886141707, 0.5537683397811132, 0.1722689164534314, 0.327946542524974, 0.4314919703133184, 0.5442026753015976, 0.2675888241365512, 0.4041846685287839, 0.3819250536441687, 0.383434228921919, 0.3688983159154404, 0.6233044324969348, 0.4232189373143049]",S2_MFCC,80.3
XGBoost,10,6,0.678,0.1415,0.47,0.569,0.7333,0.7494,0.75,0.74,0.0553,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1]","[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]","[0.36441749334335327, 0.43171432614326477, 0.3387661278247833, 0.44551247358322144, 0.3018428087234497, 0.38717174530029297, 0.45822781324386597, 0.3836190402507782, 0.3470771014690399, 0.3889244794845581, 0.43855664134025574, 0.48103511333465576, 0.5217421650886536, 0.5298617482185364, 0.22813421487808228, 0.4228942394256592, 0.7644522786140442, 0.26133987307548523, 0.45533713698387146, 0.6549311280250549]","[0.4355257451534271, 0.1749221831560135, 0.4663108289241791, 0.43594956398010254, 0.24343812465667725, 0.22554472088813782, 0.37432315945625305, 0.5291990041732788, 0.5823949575424194, 0.7445081472396851, 0.6673670411109924, 0.3198862075805664, 0.400312602519989, 0.39719825983047485, 0.6192875504493713, 0.43203893303871155, 0.2820252776145935, 0.46941566467285156, 0.5221449136734009, 0.49455246329307556, 0.5670490860939026, 0.4370986819267273, 0.6024788022041321, 0.22117456793785095, 0.37817713618278503, 0.5690966248512268, 0.8040388226509094, 0.49536290764808655, 0.4841417670249939, 0.36551764607429504, 0.26117706298828125, 0.6682719588279724, 0.4535617232322693, 0.3067963123321533, 0.47140878438949585, 0.6893748641014099, 0.2763541340827942, 0.6449452638626099, 0.44413769245147705, 0.627806544303894, 0.5923025608062744, 0.501667320728302, 0.3286099433898926, 0.3002784550189972, 0.26553061604499817, 0.6026527285575867, 0.4736962914466858, 0.3212502598762512, 0.4409938454627991, 0.4340011179447174, 0.46776461601257324, 0.4242330491542816, 0.5864880084991455, 0.6116880774497986, 0.4466197192668915, 0.37189599871635437, 0.5056989192962646, 0.5598058104515076, 0.482433944940567, 0.4770054221153259, 0.5383884906768799, 0.7610175609588623, 0.5884760022163391, 0.31343626976013184, 0.368816614151001, 0.5124680399894714, 0.4507746994495392, 0.36155998706817627, 0.7206631898880005, 0.29415425658226013, 0.5605924725532532, 0.21110065281391144, 0.34601688385009766, 0.52176433801651, 0.5504171252250671, 0.2246268093585968, 0.36274129152297974, 0.4693882465362549, 0.26269593834877014, 0.42508605122566223, 0.5993873476982117, 0.4232737123966217]",S2_MFCC,28.5
LogisticRegression,30,3,0.6835,0.1406,0.5,0.6005,0.596,0.7917,0.6,0.75,-0.0875,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.8168508102382066, 0.5960792168215197, 0.1930277414914744, 0.458151668192021, 0.15747767943021582, 0.2641169337581203, 0.20669537599945034, 0.3597732624971992, 0.6064641126521761, 0.3873371446848804, 0.49883561669255894, 0.44083492092600957, 0.4969727658985149, 0.47066895336603565, 0.816638308049424, 0.7137143141406462, 0.6352417836567958, 0.4232021266618273, 0.5281223982230242, 0.606145723002003]","[0.2989018128057188, 0.1863988816352767, 0.24756691746704065, 0.7283209957164575, 0.5292903109225009, 0.19814376304809825, 0.42764362839138415, 0.4259118476558484, 0.21552302016013014, 0.43098117064494984, 0.6878701283643189, 0.4073140235261227, 0.32380686743990683, 0.4492410179702737, 0.4792371394365334, 0.4387524648605474, 0.6227291638788445, 0.6168263605839466, 0.8052921628899034, 0.2504864966196399, 0.4001210254805767, 0.41311181461042906, 0.4561770599992874, 0.6716020225079764, 0.755591844806987, 0.611468113082447, 0.5557866668822053, 0.2935317899732054, 0.6392643911399403, 0.5109929593640591, 0.42148529952261926, 0.3797581605965445, 0.3187904277729232, 0.5895810217493715, 0.6735992788408371, 0.5210062938218358, 0.3954028353312452, 0.5540410028065998, 0.489869716836155, 0.40019240475270834, 0.3779832044471233, 0.5417492912494581, 0.27312158151664345, 0.6411791599515226, 0.6418887728669216, 0.47289751986419354, 0.4475020164854645, 0.5706594965490192, 0.4813006317908251, 0.5565629119427389, 0.490868424445916, 0.5713243026241634, 0.4445308810385719, 0.741563929662536, 0.6078675511496732, 0.34310993455934613, 0.5072458667508876, 0.4679802625001474, 0.4445536398956543, 0.6147748211146948, 0.5685544664420078, 0.5179443881536593, 0.26069709570077915, 0.39747816823938864, 0.2521991230315358, 0.40603866026744845, 0.42255784871568675, 0.4322105819578016, 0.38277372466345794, 0.3191395828710879, 0.693048223031338, 0.2173865476468243, 0.7327584321613916, 0.5563600135344039, 0.5183028677022232, 0.2848547595466911, 0.6151209350158269, 0.41271471881966454, 0.5447998694228424, 0.2550524834405524, 0.46452491057982725, 0.3103294431357386]",S3_Wav2Vec,44.3
SVM,30,6,0.6087,0.1032,0.36,0.554,0.7,0.798,0.7,0.74,0.0913,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1]","[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[0.4795108225081029, 0.3888638299695535, 0.24769174290949297, 0.3493550973515006, 0.2543322829538353, 0.29695972214718086, 0.28707838425117194, 0.3144156472492906, 0.3940880625398915, 0.3463917851522724, 0.35838697827014265, 0.36416371998153435, 0.36303640779699414, 0.35491881294786487, 0.39429244094218724, 0.4082147171533153, 0.4012265144727635, 0.34256522899176595, 0.38729292129014586, 0.3725547483569999]","[0.30668671301446704, 0.273059410828503, 0.27298139676934674, 0.4399123436957136, 0.3747614190433263, 0.2165884315996392, 0.3859575390115288, 0.3703757042907658, 0.19265152275456246, 0.3334513756803448, 0.43003459049027826, 0.3530428479590916, 0.3712433099215696, 0.3589000255217626, 0.2940615596878187, 0.3633480714574313, 0.4041531535323713, 0.3581878090636698, 0.6331456784218816, 0.3179289728118149, 0.34098836380164693, 0.352554399227894, 0.3295628203989935, 0.406254185290135, 0.6193637363103565, 0.4036793837858079, 0.36959054140690845, 0.3400339056660665, 0.4370046265027192, 0.3581339154426269, 0.35638388954774547, 0.33744767757873045, 0.31892214987968387, 0.3780208102783896, 0.4289236432353691, 0.36996568260821827, 0.3542672725630051, 0.3571562550337897, 0.36072385761092635, 0.3469252497907671, 0.3299999183487212, 0.360908359493442, 0.3122240524793822, 0.346206021257671, 0.3620159707106128, 0.35790537516034754, 0.3405581472316919, 0.4516053365614647, 0.34555522452503984, 0.3565217160774938, 0.35465510143736156, 0.36020516821765763, 0.346564935384615, 0.44558242328941644, 0.41970408138764803, 0.2890147353569425, 0.36083303936197214, 0.3637341930207553, 0.3620652064035681, 0.41566300147184065, 0.39279201148184983, 0.35686107565222613, 0.21339770906403457, 0.3468491198332454, 0.3407462852731531, 0.29850267963542626, 0.35596437395451347, 0.35975458289236895, 0.3537532881264748, 0.3065982343841856, 0.4945608444632511, 0.24135754485135938, 0.42203665857212874, 0.40794547741491777, 0.3612587044286836, 0.3683582080127393, 0.38566945839527883, 0.3494601795948814, 0.3698439222771944, 0.22299548816904874, 0.35200321023245745, 0.3109922027655575]",S3_Wav2Vec,33.6
