model,best_n,best_cfg_idx,cv_f1,cv_std,oof_thr,test_f1_oof,test_f1_sw,test_auc,y_pred_oof,y_prob,oof_probs,best_cfg,scenario,time_s
LR,,5,0.6088,0.125,0.43,0.6,0.697,0.58,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[0.29465238991567727, 0.3683054093399268, 0.5162198344489534, 0.629016538393335, 0.28154048287188627, 0.46069773925980034, 0.3009780472025259, 0.16399459255163568, 0.35915598929270987, 0.4843103182257849, 0.3964458989141358, 0.26761229555103677, 0.3837637293389098, 0.46168902615346497, 0.10086724293373865, 0.47702284705925396, 0.45175979052897447, 0.43416133134345936, 0.7374541596591192, 0.5224655804315047]","[0.39626242322189387, 0.07298879185911346, 0.33827667328993377, 0.5690458240280957, 0.019234187282657793, 0.6402575811555735, 0.16871177605897406, 0.5277100120836099, 0.36300453573167485, 0.5678983085955934, 0.6131682104735037, 0.290457492615362, 0.4785226207878319, 0.7483690012720827, 0.5349793179824252, 0.45006339892657465, 0.28631364755114763, 0.5001118470843028, 0.33322534047443964, 0.2726676528993448, 0.5137207255452692, 0.37653411446687435, 0.5465676547015589, 0.22759746725087734, 0.5426790212715356, 0.5227313111385091, 0.31864607808408085, 0.32305645853202797, 0.16437286070008858, 0.40375926329068634, 0.3617278990658421, 0.631064828084045, 0.3964933550004516, 0.41485117706025976, 0.4825320169682661, 0.6128955564033669, 0.45695483677300397, 0.482075911281235, 0.30203367489016314, 0.4838540309054502, 0.7126721380650219, 0.5084451414300916, 0.23273125157792676, 0.23687380772939548, 0.5888097222238642, 0.49741402796830847, 0.2630833473581554, 0.7236067879930008, 0.3924234720976223, 0.3802028362045069, 0.47295992966096945, 0.3826407462094419, 0.6116462195572392, 0.8210356549619884, 0.21610094651538697, 0.5768653620063937, 0.5165759146597843, 0.42964479591296806, 0.42356220093077007, 0.6467378766680921, 0.573109399785144, 0.6632208520088336, 0.3686936600322472, 0.20579924817363077, 0.2014765868281481, 0.48345396127554063, 0.5307764901101897, 0.6820421161127335, 0.7418747050050215, 0.26297017951780255, 0.5724571525848161, 0.29540828889786386, 0.32695738659649887, 0.7627937009866953, 0.7428689123534495, 0.2780932523432757, 0.5903400574107638, 0.32019445736410107, 0.6956435626294156, 0.5033678584595971, 1.0, 0.4130958205427258]","(0.01, {0: 1, 1: np.float64(1.8)})",S1_Spectrogram,15.0
SVM,,0,0.5654,0.1185,0.36,0.3333,0.5833,0.53,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3462463496598151, 0.3523192604673077, 0.3480586796333865, 0.3563728074110483, 0.34618093636696, 0.34986319142578937, 0.34514895392009665, 0.34675521531296966, 0.34772647443674876, 0.3416836106681418, 0.352892037921922, 0.34438404462250055, 0.3435975467606726, 0.3493845831093902, 0.3165633719853224, 0.347546155041726, 0.351947377212388, 0.3521594731255499, 0.35499099908244364, 0.3469507324595941]","[0.34657472679884266, 0.35004929669774876, 0.3337255003045128, 0.3644772319901415, 0.2823558296334787, 0.3653160593826349, 0.3464786559267802, 0.35472417096591785, 0.34823119556823706, 0.3531705029527736, 0.37410138981418856, 0.3598743856923403, 0.3484867336256473, 0.34631957408114383, 0.355307304664545, 0.34218307583207697, 0.35472136428299045, 0.35126800363067107, 0.3375977617289359, 0.34324383504277334, 0.35469968497988863, 0.3530934511744185, 0.35661916962216034, 0.3462074422990177, 0.3524847603235224, 0.34860399592222757, 0.3524987694390596, 0.36014977379754765, 0.32217471722211055, 0.3499714371544054, 0.34244898079231384, 0.36647099516643117, 0.3569903481286843, 0.347508687549614, 0.3602198379322348, 0.3508378096313833, 0.35154754359712964, 0.34505476242414956, 0.3302643884469692, 0.3436485358562508, 0.3501678326079171, 0.3445719149072468, 0.35306585348334724, 0.33866344541177257, 0.3534119539919873, 0.347971785714523, 0.3353630665782634, 0.3679883569806432, 0.3287630280217739, 0.34923416608650054, 0.350990506147646, 0.3492014257653247, 0.35535324890757, 0.38246827127439337, 0.3335198106757487, 0.3623726279521104, 0.3534764063564265, 0.3467721064464973, 0.351728699902299, 0.35995363561540394, 0.3625235816296461, 0.35494898562036376, 0.34411824248957973, 0.3389138805982259, 0.3471780995817738, 0.35131342930600196, 0.3606518423511375, 0.3635329307973244, 0.3607656400241909, 0.3426889816061039, 0.3348363923123707, 0.353004077315416, 0.33910448527015913, 0.3565115025922599, 0.3552220566984316, 0.35062323178599536, 0.3549176942544595, 0.35167113348234574, 0.37122336182333865, 0.34757627894712273, 0.5853745796879882, 0.35399594836441794]","(0.1, 'linear', 'balanced')",S1_Spectrogram,15.2
RF,,6,0.6609,0.1388,0.405,0.596,0.7,0.54,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[0.5375999917856453, 0.3151559509538158, 0.4012178111941193, 0.5028548799496749, 0.3300254583656972, 0.41529571144701866, 0.2715597831455346, 0.4915106240643819, 0.3238638537480676, 0.45076205503059935, 0.28986819358184296, 0.21889108882024752, 0.4651952086198888, 0.4790280627369556, 0.3149242301523971, 0.458343472017919, 0.4997126001770717, 0.5150029604778982, 0.48948871194547733, 0.4690889591349164]","[0.3692396596799169, 0.2998828464259122, 0.45812113893121753, 0.637907564023599, 0.30237936961626216, 0.37399092115519245, 0.423109032688496, 0.496573092897974, 0.3934574196704472, 0.4187413275538061, 0.5257672634146551, 0.42034760642207963, 0.3423659834776285, 0.4933460016232607, 0.48307362532482007, 0.398581323866114, 0.2796780123776523, 0.347120019442567, 0.35431782980458787, 0.25913225861917094, 0.535520192504032, 0.3383683677578819, 0.4005788732810945, 0.2906230855676467, 0.36247197160812455, 0.5084434531127384, 0.45102337682822496, 0.34906177360090146, 0.38173780542362207, 0.31764125363105783, 0.35441568724938916, 0.5478049243847739, 0.39501634437803607, 0.43270788437242147, 0.534437534835169, 0.407937137642731, 0.3689385051366822, 0.44011267931149584, 0.31436192634257976, 0.41003748966556786, 0.5849306134088448, 0.5193274633440491, 0.17172367900344995, 0.2341189738171624, 0.4982894161027333, 0.5839083113949667, 0.33936964816005943, 0.5533257701528546, 0.3193035825633745, 0.22151364940275006, 0.40962433780506147, 0.2643224148493014, 0.440905567403516, 0.6753739146524098, 0.33303817711545786, 0.3257909009369131, 0.5053508708956961, 0.396935648433027, 0.3510917962092118, 0.4765725543741136, 0.47829581659863823, 0.6269631883596757, 0.3226473006994975, 0.1982635988930411, 0.23506662798347056, 0.40299648894245893, 0.3425268298506605, 0.3512490464356546, 0.5324823479847437, 0.25848401740138804, 0.5458623311594616, 0.4365855392256903, 0.36088645779130124, 0.6370399572895001, 0.6113701212789932, 0.3187746227813987, 0.4750804790568189, 0.2802650200478771, 0.5793472183142702, 0.4018922166604718, 0.5550595853293906, 0.38825591188400904]","(300, 3, 2, 'balanced')",S1_Spectrogram,29.5
XGB,,0,0.7135,0.1137,0.575,0.2593,0.6,0.43,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.7495394349098206, 0.3388315439224243, 0.6624403595924377, 0.5112453699111938, 0.16240833699703217, 0.41207846999168396, 0.39718809723854065, 0.5926904678344727, 0.4201221764087677, 0.4122030735015869, 0.22201260924339294, 0.17427828907966614, 0.45440396666526794, 0.4480244815349579, 0.27318745851516724, 0.47038277983665466, 0.3588963449001312, 0.5634775757789612, 0.44793128967285156, 0.5489960312843323]","[0.43137437105178833, 0.16538779437541962, 0.6201338768005371, 0.5537996292114258, 0.20215944945812225, 0.26833707094192505, 0.6106426119804382, 0.5014816522598267, 0.39007768034935, 0.5053847432136536, 0.5210521817207336, 0.429246723651886, 0.2076966017484665, 0.5653632283210754, 0.442643404006958, 0.7014768123626709, 0.3571602404117584, 0.210691437125206, 0.3690836727619171, 0.27625614404678345, 0.5037451386451721, 0.4318442940711975, 0.5436254143714905, 0.4096212685108185, 0.14338666200637817, 0.47588977217674255, 0.6712465286254883, 0.3128833472728729, 0.5766808390617371, 0.24270322918891907, 0.18976059556007385, 0.7648874521255493, 0.5738273859024048, 0.5404068231582642, 0.30625417828559875, 0.6140089631080627, 0.41792070865631104, 0.49815094470977783, 0.20352791249752045, 0.6066910624504089, 0.5699613690376282, 0.42248785495758057, 0.19038262963294983, 0.17411427199840546, 0.41187673807144165, 0.8043173551559448, 0.15478093922138214, 0.6953743100166321, 0.31567391753196716, 0.17657804489135742, 0.3319176733493805, 0.22199541330337524, 0.21831083297729492, 0.7260621190071106, 0.4682908356189728, 0.3722248375415802, 0.5607307553291321, 0.5498647689819336, 0.1967410296201706, 0.6080306768417358, 0.8357961177825928, 0.6966899633407593, 0.23731482028961182, 0.12306239455938339, 0.16720598936080933, 0.48681747913360596, 0.49816805124282837, 0.21310420334339142, 0.7793031930923462, 0.41302812099456787, 0.46474024653434753, 0.3745611011981964, 0.18427489697933197, 0.564052939414978, 0.5721243619918823, 0.4392162263393402, 0.5950067043304443, 0.48465442657470703, 0.8248875141143799, 0.22657735645771027, 0.6424486637115479, 0.428430438041687]","(100, 2, 0.05, 0.8, np.float64(1.83), 1.0, 5.0)",S1_Spectrogram,75.8
LR,,6,0.6511,0.1084,0.535,0.335,0.4133,0.26,"[1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[0.5721457857888064, 0.34570915848089095, 0.23321852898575707, 0.7468772302033629, 0.19630217033067138, 0.39185684609760096, 0.8298276753171085, 0.5891757138709213, 0.9187056289596989, 0.28373749562878514, 0.21247465222698672, 0.21834358998053097, 0.06085293550331237, 0.0693359269131579, 0.09592266263846946, 0.23676550892968082, 0.8978038920537942, 0.2955877114063485, 0.7259832429285057, 0.3207567880302499]","[0.15213996647168299, 0.07307027697123149, 0.18333476667610368, 0.2584307716608719, 0.47598148142601554, 0.24834672822354392, 0.20920207452460188, 0.5266001560250879, 0.689147884491809, 0.9445001860723623, 0.5713363175078626, 0.01805285861089632, 0.0054682293235704515, 0.23911888982692497, 0.28883036612933627, 0.8832926683213314, 0.10966904456890443, 0.2620817848830312, 0.493932245154024, 0.8064994792406844, 0.14856542847347168, 0.5326209919658927, 0.5088176136863407, 0.002972244202040742, 0.3989246362699088, 0.7337757660239982, 0.34275951155231127, 0.8711825808332124, 0.7656305878175675, 0.030569287742012535, 0.028236866925328726, 0.8199517553711411, 0.00016756648207746824, 0.17172360397932465, 0.5506861354714038, 0.5554518754700241, 0.04599571195489833, 0.5815474691272609, 0.3605189161036696, 0.5615811459593407, 0.8587893529334684, 0.3525962592077321, 0.3592640958259739, 0.2414632859076818, 0.06390329775369034, 0.7632893876527358, 0.5948199386607699, 0.8607886372342695, 0.14018143193032778, 0.15470088524440487, 0.4199789932643757, 0.26863824642496803, 0.4857884739960814, 0.9887683762130723, 0.13479693689099304, 0.4637990605455202, 0.42689631998713723, 0.4394255595558049, 0.1588635267911669, 0.6028408040611518, 0.7563491987532794, 0.8252988133295358, 0.42825030700900124, 0.15085408414675983, 0.17415644018773666, 0.46122970342916725, 0.1865232647797389, 0.11927332437466419, 0.9083394288419318, 0.14549525861297993, 0.4687742086337177, 0.3558706373691103, 0.14467696502751987, 0.5097048004999905, 0.48692571128745793, 0.19505034366832535, 0.38034887381668236, 0.07167966481108132, 0.3440238709884445, 0.38691980848814117, 0.8110613830065729, 0.22376487451253213]","(0.05, 'balanced')",S2_MFCC,16.8
SVM,,15,0.6552,0.1441,0.365,0.375,0.4872,0.39,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[0.3437035270738431, 0.3724819273560988, 0.3524182864733337, 0.3759556015458396, 0.3320034287473202, 0.336929156948651, 0.38378306818697777, 0.36323842783952937, 0.4293462492639177, 0.3615537994879792, 0.34375612082820195, 0.33934360242791445, 0.3524185049343024, 0.304009653784907, 0.3389386937054278, 0.3422901703226909, 0.43817645927021687, 0.3533207527332757, 0.40407547975783364, 0.3456935700432053]","[0.3221979086213099, 0.21564992900078106, 0.3495062710758487, 0.36850284629930924, 0.3512596317941543, 0.34334200466960757, 0.3469164212096258, 0.36892864471756853, 0.3324093097259166, 0.3526687471411004, 0.38085109277719514, 0.369640549861214, 0.3393154496355174, 0.356093242075871, 0.3301331460343648, 0.3692979011569879, 0.313667058445722, 0.3617646808019402, 0.35773375822292464, 0.3510500738047524, 0.35634452814462036, 0.34515324771535805, 0.35057235756578065, 0.30024027797533026, 0.36215219429517065, 0.3510811840091434, 0.5, 0.36085923250923074, 0.35515658091847563, 0.33750034992954664, 0.35602871998022123, 0.3526760374158842, 0.35389183743514463, 0.34505010265203, 0.37578308705899455, 0.3673515349084936, 0.3565885852913077, 0.3721557349534815, 0.36468193340162364, 0.30654964759241193, 0.3396129574686026, 0.34797205933330744, 0.4786846966475953, 0.3470646324900256, 0.31485460436902446, 0.36391690870390647, 0.37271873807569555, 0.3715647847659326, 0.34662945826750213, 0.3087979625516523, 0.356679673013567, 0.37225462070866683, 0.4893696402388174, 0.38117577907927946, 0.35022130508420146, 0.3686829976513707, 0.36132697285104626, 0.3312309772644369, 0.34230759184582554, 0.35536864230903664, 0.35515730723251737, 0.7245948825956494, 0.3645595528952472, 0.3076138194752725, 0.3191169791667249, 0.3323942942810199, 0.362360749415129, 0.35627498921799183, 0.3866748824462711, 0.3300184200550546, 0.3908218933768166, 0.3138511234823012, 0.343489300272368, 0.31191132171823266, 0.3576006534441434, 0.3527031500020422, 0.35025367477678787, 0.38737622761437984, 0.3507119765954118, 0.379746472507511, 0.2888388218194013, 0.29659275351168873]","(5.0, 'rbf', {0: 1, 1: np.float64(1.8)})",S2_MFCC,16.8
RF,,9,0.7088,0.1096,0.45,0.4133,0.7,0.61,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[0.4573807499837781, 0.23480635685256682, 0.36600052964329133, 0.464329972373173, 0.2341617843820792, 0.3283678461308194, 0.31262809578634304, 0.300337588001703, 0.3770100577102309, 0.5034171381486946, 0.2575736853082577, 0.24920017311538833, 0.42616095475651206, 0.41316904386369935, 0.286805953361398, 0.3827306121810601, 0.6272682287996533, 0.42402569122677247, 0.5667203661063144, 0.4282401136795705]","[0.2632579667318237, 0.267223844164748, 0.45815017709287703, 0.5033925416908843, 0.3150954232026407, 0.38323689158033086, 0.26139828570126883, 0.4465698069843208, 0.39498677415859934, 0.3347720534419372, 0.6413588117348303, 0.49509623393750674, 0.279096947454658, 0.5921221516747032, 0.34404557889173454, 0.5918948052997337, 0.3050327224937938, 0.5047115130657517, 0.31476997400124607, 0.2582209000144904, 0.5730865980528719, 0.3982003081550234, 0.34953007613244097, 0.24739708246501924, 0.37629753773370994, 0.39933249289593764, 0.562862354937506, 0.31858950649707785, 0.490448539267515, 0.21584994723869347, 0.3035559980318012, 0.5883027000650749, 0.3409612642247298, 0.26399104989372957, 0.5903995977102767, 0.39159115465454236, 0.2509149108569777, 0.528360484873253, 0.32430714414189754, 0.5221397901441561, 0.378104610488583, 0.4823868637450761, 0.3528028567888356, 0.2296293619876525, 0.3007644408221017, 0.40816814557475106, 0.32010874927004107, 0.4118923147011278, 0.3897203831825119, 0.3808852166755688, 0.38890428626490864, 0.401905729908685, 0.5171052310143054, 0.6147411589252986, 0.31209244433896915, 0.2736983162576775, 0.5617016593696411, 0.24539991671270475, 0.28700711016165137, 0.4767166500128164, 0.5167543840377171, 0.7273890141897432, 0.34430920415526656, 0.13676015832478464, 0.2704470899879713, 0.3196447159759541, 0.30760651859668614, 0.35936893518632085, 0.6184905605410203, 0.26379526894714367, 0.49107760321822364, 0.4539532644252993, 0.24484981588255683, 0.5284847946539877, 0.5664471746308049, 0.21523775414026455, 0.4841771811347426, 0.24494112242903435, 0.38849397337887304, 0.227503545378636, 0.4999688666015435, 0.22511364723936514]","(300, 5, 3, 'balanced')",S2_MFCC,32.9
XGB,,9,0.6767,0.1396,0.38,0.4505,0.6419,0.6,"[1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0.5689896941184998, 0.29026103019714355, 0.4069518744945526, 0.709865152835846, 0.16921092569828033, 0.384905606508255, 0.3813079297542572, 0.4328042268753052, 0.49326738715171814, 0.5507071614265442, 0.14630383253097534, 0.2517510652542114, 0.4292565584182739, 0.5992884635925293, 0.4642140567302704, 0.4102877974510193, 0.621403157711029, 0.5023044943809509, 0.6147030591964722, 0.6439269781112671]","[0.2457330822944641, 0.2801970839500427, 0.49483534693717957, 0.7206319570541382, 0.3456367552280426, 0.2833125591278076, 0.21498024463653564, 0.6321015357971191, 0.5110496282577515, 0.37225762009620667, 0.7660156488418579, 0.5716182589530945, 0.19615022838115692, 0.4437198042869568, 0.22426865994930267, 0.5542754530906677, 0.38268569111824036, 0.44966164231300354, 0.3205201029777527, 0.1973712295293808, 0.7377059459686279, 0.5267573595046997, 0.37760838866233826, 0.4120984971523285, 0.3248368501663208, 0.3037363290786743, 0.4332253336906433, 0.30584290623664856, 0.5902829766273499, 0.17376099526882172, 0.26723530888557434, 0.5134876370429993, 0.2959725856781006, 0.29542091488838196, 0.6447234749794006, 0.36029714345932007, 0.2352958619594574, 0.5092215538024902, 0.2208849936723709, 0.5273151993751526, 0.23930390179157257, 0.44424164295196533, 0.28736045956611633, 0.19483177363872528, 0.25117629766464233, 0.41935065388679504, 0.39444395899772644, 0.33780741691589355, 0.4530814290046692, 0.4698845446109772, 0.4298301935195923, 0.4508790671825409, 0.5028011798858643, 0.7300379872322083, 0.29861488938331604, 0.24718058109283447, 0.5102243423461914, 0.2228490710258484, 0.3947882354259491, 0.4921815097332001, 0.3941076397895813, 0.8015857934951782, 0.42746856808662415, 0.13852623105049133, 0.23794907331466675, 0.31429561972618103, 0.20816421508789062, 0.4339379072189331, 0.6219176650047302, 0.2540132701396942, 0.4658649265766144, 0.3227735459804535, 0.30066466331481934, 0.3076951801776886, 0.6883143186569214, 0.18859805166721344, 0.2651839554309845, 0.29233306646347046, 0.44501805305480957, 0.24534377455711365, 0.48739251494407654, 0.16993440687656403]","(100, 3, 0.05, 0.8, np.float64(1.83), 2.0, 5.0)",S2_MFCC,106.6
LR,,13,0.6395,0.1109,0.39,0.5489,0.6875,0.62,"[1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1]","[0.9691046985372129, 0.6186053466709693, 0.009529965065689611, 0.45410342952386024, 0.000551774229835079, 0.03470908914198103, 0.052631678693771555, 0.1686083041369698, 0.39548878435863793, 0.5334009792713333, 0.3517888175009198, 0.22772047810435908, 0.39843338556440927, 0.4373230140861844, 0.04355530453281315, 0.7178594317512039, 0.8499284222612196, 0.5010179855920008, 0.3631869851280635, 0.5239666268818366]","[0.04995910252721359, 1.563989292190311e-05, 0.0019716046928210645, 0.35374181925861764, 0.00033620100409187403, 0.0006235295151349315, 0.24824672908139886, 0.2790470385209954, 0.0794903073393259, 0.6692196168826168, 0.9609556529776272, 0.1265531681626063, 0.1275057145838555, 0.27998205776898716, 0.4245424173020461, 0.357162250315859, 0.7620341234497966, 0.8775888916432367, 0.9427543126865278, 0.12691216561693164, 0.2373067635488831, 0.20046045644363125, 0.24817608706152108, 0.25253163595175043, 0.8897825076589092, 0.7908261558261667, 0.6865578793164017, 0.19973297446708782, 0.6601804797860128, 0.5448690837402187, 0.5741303472486678, 0.2157111417635051, 0.08249829709674243, 0.6630533231925918, 0.8325707428490254, 0.5383965060936663, 0.24803262681764277, 0.40924876544523164, 0.4900254728250283, 0.4325969741337629, 0.40603951022239193, 0.5564778232006771, 0.005944853660866545, 0.8296233685763567, 0.8380925573844302, 0.3850773559731745, 0.579543972892606, 0.8942110090237365, 0.28975694424955933, 0.4913869688484744, 0.6603741618410272, 0.4533785624388561, 0.10084968167795953, 0.9900103675418417, 0.8662529228532211, 0.077824734054534, 0.6962706951334661, 0.3875825551243791, 0.5645621854825627, 0.6873319014965041, 0.9198203237165925, 0.7293533254174981, 0.06872789852597974, 0.12983255031849208, 0.06334204121277204, 0.6832953955935334, 0.13259532400450144, 0.49952133875404625, 0.28583256977075727, 0.2025523919707814, 0.5802692257485943, 0.005818459334344322, 0.9100415012878033, 0.7775004625000604, 0.6500924835862126, 0.07626935580642012, 0.7471034778364174, 0.1349659359723891, 0.5517550530634092, 0.10158191913182875, 0.4541734590187144, 0.05270326980555855]","(0.5, {0: 1, 1: np.float64(1.8)})",S3_Wav2Vec,14.3
SVM,,1,0.5186,0.0996,0.34,0.6267,0.7442,0.69,"[1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0.40168835579430884, 0.36520877007507, 0.3169459255514384, 0.3616939505345056, 0.2750809526707702, 0.3311283691549002, 0.33160644653425597, 0.3490839865256751, 0.3504285422624578, 0.36717439952013897, 0.3577155805604992, 0.3575526146540542, 0.3653341546845147, 0.3617035765387364, 0.2582629286332044, 0.372208942449929, 0.38562766402418525, 0.3614984514755402, 0.36753848396034944, 0.36913495051926776]","[0.3641365383549905, 0.2032896239318546, 0.44804313688125, 0.3608643805086555, 0.5529643675602628, 0.26722294796096624, 0.338123095690815, 0.36677887799858416, 0.3381607346145851, 0.3808440190930342, 0.41050152199103307, 0.36871562268647723, 0.38669762782275174, 0.3591601171971358, 0.35470539832221315, 0.35257709324465136, 0.3400451523283463, 0.3195672061963138, 0.350914242712782, 0.3364523322433842, 0.35343113292992206, 0.3525440950276469, 0.3579574526337604, 0.35254159183846834, 0.34920852486233517, 0.3708237396942314, 0.38067881370542433, 0.368533741933015, 0.31540535248136575, 0.3426108227383481, 0.3343245297477677, 0.3684372034597646, 0.3345094829162859, 0.3198844739017406, 0.3942593562567259, 0.3404926616460056, 0.3596896646686075, 0.3515255253776972, 0.3543539813122057, 0.36102450060989505, 0.36183881475820506, 0.3529280802719329, 0.2796909093149478, 0.3193690182882413, 0.33913290557425374, 0.35457274403045197, 0.3533342579604561, 0.3860059316039247, 0.34800974688903447, 0.3565987855307076, 0.36294908833608935, 0.3495558975919758, 0.3385891158599934, 0.41871582771365706, 0.31577262557844415, 0.334709106355538, 0.40254143753511734, 0.3510808835570586, 0.3718439168384297, 0.30681735531576937, 0.3630670771099886, 0.36882406291322717, 0.358125539100707, 0.36631059897651624, 0.37405787494122983, 0.3605285844351484, 0.36773067945510257, 0.37424951900504705, 0.3475329926525481, 0.3640933239399767, 0.35405099981872123, 0.2921860129184248, 0.33079914864431637, 0.37249241338442113, 0.34022884496751393, 0.40364730769035334, 0.37340510329189003, 0.3694064623885554, 0.3824656059351804, 0.3378768262228417, 0.3523999895197781, 0.3142527753980582]","(0.1, 'linear', {0: 1, 1: np.float64(1.8)})",S3_Wav2Vec,14.2
