feature,importance,abs_importance,xai_level
PC2,0.13217709958553314,0.13217709958553314,PCA component
PC7,0.11993923038244247,0.11993923038244247,PCA component
PC5,0.11992771178483963,0.11992771178483963,PCA component
PC10,0.10813861340284348,0.10813861340284348,PCA component
PC8,0.1044001430273056,0.1044001430273056,PCA component
PC6,0.09513895213603973,0.09513895213603973,PCA component
PC9,0.09493371099233627,0.09493371099233627,PCA component
PC1,0.08245783299207687,0.08245783299207687,PCA component
PC4,0.07907674461603165,0.07907674461603165,PCA component
PC3,0.06380999833345413,0.06380999833345413,PCA component
